time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg]
449.7000000000337,26080.495628044067,40290.78062557344,-18.227513428926912,-1637.7477039190567,1.5637732396589805,-0.03219000055601298,4.701259817549435,-3.137486577890454,972944.4338947063,526109.7898809948
449.8000000000337,26078.691940210785,40127.47251913078,-18.036878332837627,-1633.0810644265966,1.560312539122947,-0.03460700536033513,4.701344736857256,-3.141032197734309,971408.4965167766,524573.8525030651
449.90000000003374,26076.89580652464,39964.63504216229,-17.961336861434578,-1628.3747696848684,1.5568262391686796,-0.03486299954267533,4.701359204670862,-3.144532965502182,969872.5591388469,523037.91512513545
450.00000000003376,26075.09849111457,39802.26772908677,-17.973154100695723,-1623.6731307551627,1.5534847508113403,-0.033414883573393096,4.701319991364934,-3.1478352405535936,968336.6217609172,521501.97774720576
450.1000000000338,26073.283527746644,39640.36791558624,-18.14963367926048,-1618.9981350052929,1.5505781991748877,-0.029065516364526953,4.701179039473679,-3.1506008402987913,966800.6843829876,519966.0403692761
450.2000000000338,26071.43793245653,39478.93382546646,-18.455952901142435,-1614.340901197766,1.5483360702816849,-0.02242128893202842,4.700956978089849,-3.152620907808164,965264.7470050579,518430.1029913464
450.30000000003383,26069.551682389665,39317.964152308545,-18.862500668670386,-1609.6967315791353,1.5469339347837523,-0.014021354979326092,4.70067147048564,-3.1537375357018873,963728.8096271282,516894.1656134167
450.40000000003386,26067.61862066346,39157.45841403839,-19.33061726206076,-1605.0573827015448,1.5464783666330157,-0.00455568150736455,4.7003459949236515,-3.1538676282906355,962192.8722491985,515358.228235487
450.5000000000339,26065.63713451444,38997.41714658123,-19.814861490181247,-1600.412674571585,1.5469961239050516,0.005177572720359217,4.7000085178860305,-3.153012393980979,960656.9348712688,513822.2908575573
450.6000000000339,26063.610443046284,38837.841963303275,-20.266914681565822,-1595.751832779551,1.5484301278853594,0.014340039803077265,4.699689120255648,-3.151258992370289,959120.9974933391,512286.35347962764
450.7000000000339,26061.546438957983,38678.73547304719,-20.640040882996047,-1591.0649025608645,1.5506430261073987,0.022128982220393417,4.6994172385256245,-3.1487742124182256,957585.0601154094,510750.41610169795
450.80000000003395,26059.457106435002,38520.101024130185,-20.893325229819546,-1586.34448917006,1.5534278838861098,0.02784857778711167,4.699219005396086,-3.145791121509976,956049.1227374797,509214.47872376826
450.90000000003397,26057.358374551,38361.942362131056,-20.987318840006555,-1581.5866199912507,1.5565125998454958,0.030847159593859922,4.699119971379222,-3.1426073715337264,954513.18535955,507678.5413458386
451.000000000034,26055.264056646294,38204.26381236388,-20.94317904704528,-1576.7854976717656,1.559656477301923,0.031438774564272826,4.6991075621879865,-3.1394510848860637,952977.2479816204,506142.6039679089
451.100000000034,26053.18436765248,38047.065354828745,-20.796889938146222,-1571.9845753514041,1.5626739896216584,0.030175123197353416,4.699160048583442,-3.1364860589617836,951441.3106036907,504606.6665899792
451.20000000003404,26051.136025210166,37890.34352558568,-20.483424423139507,-1567.2182924306017,1.565281443962494,0.026074543408356604,4.699319800235719,-3.1340383562732246,949905.373225761,503070.7292120495
451.30000000003406,26049.133629865755,37734.096132335166,-20.023953444108614,-1562.473932505195,1.567233262975308,0.0195181901281412,4.699574137907581,-3.1323408749322725,948369.4358478313,501534.7918341198
451.4000000000341,26047.187713246694,37578.32165622254,-19.45916619059575,-1557.7447611262562,1.5683533997494359,0.011201367741279186,4.699897746526341,-3.1315443467769053,946833.4984699016,499998.85445619014
451.5000000000341,26045.303860914588,37423.01969079017,-18.8385233210785,-1553.019654323738,1.5685495262304712,0.001961264810353214,4.7002593210052,-3.131709794774729,945297.5610919719,498462.91707826045
451.60000000003413,26043.482039748564,37268.19116346033,-18.218211660237653,-1548.2852732984093,1.567823240556678,-0.007262856737930973,4.700622821239651,-3.1327995806829723,943761.6237140422,496926.97970033076
451.70000000003415,26041.716496246965,37113.83833605634,-17.655435015983645,-1543.5282740399566,1.5662707808217222,-0.015524597349559585,4.700951117286362,-3.1346803364646396,942225.6863361126,495391.0423224011
451.8000000000342,26039.99624845242,36959.96456758757,-17.20247794546804,-1538.7376846876562,1.5640740327794749,-0.021967480422474407,4.701209842124266,-3.137135809344791,940689.7489581829,493855.1049444714
