step,state_mean,state_min,state_max,state_std,state_kurtosis,action_mean,action_min,action_max,action_std,action_kurtosis,reward_mean,reward_min,reward_max,reward_std,reward_kurtosis,critic_loss,actor_loss,alpha_loss,alpha_value,q_value_mean,q_value_min,q_value_max,q_value_std,log_prob_mean,log_prob_min,log_prob_max,log_prob_std,target_q_mean,target_q_min,target_q_max,target_q_std
0,1.6562836,1.5471647,1.7515444,0.05807076,-0.9741548,-0.04150919,-0.99556,0.9965462,0.6853219,-1.478791,-0.03311272,-5.979085,0.20187505,0.848132,44.19061,1.4858695268630981,-0.14894655346870422,-2.5002646446228027,0.1999400089994862,0.03824622,-0.028751828,0.094468944,0.04451377,-0.55350167,-1.2044547,1.2183652,0.64418286,0.15882793,-5.8686566,0.55122954,0.8614066
1,1.6523464,1.5472741,1.7486421,0.058512505,-1.0828228,0.007878825,-0.99961925,0.9965462,0.70146394,-1.4812678,0.005725655,-5.979085,0.20024785,0.660022,76.23382,0.9091331958770752,-0.253101646900177,-2.5721535682678223,0.19987999792840888,0.1335633,0.05857273,0.20972812,0.05102105,-0.59787107,-1.0387452,0.38576317,0.39966625,0.21443576,-5.8833137,0.5194276,0.6665311
2,1.651386,1.5471647,1.7515444,0.05975925,-1.1843193,-0.04947777,-0.99961925,0.9965462,0.69610393,-1.4567211,0.059704326,-5.978674,0.20187505,0.4006509,198.95174,0.3535805642604828,-0.4114023447036743,-2.7070870399475098,0.19981990933286525,0.27520797,0.18945983,0.34897316,0.05013239,-0.6813807,-1.1218724,-0.22219276,0.19707452,0.28485054,-5.6844907,0.72767186,0.4015219
3,1.6517206,1.5471647,1.7515444,0.05710474,-0.9917954,-0.08995802,-0.99928164,0.9965462,0.6857736,-1.4605922,0.05192777,-5.978674,0.20187505,0.40131384,196.5763,0.33756691217422485,-0.4460168778896332,-2.700356960296631,0.19975979083235287,0.31076124,0.22766231,0.38971815,0.041223034,-0.6768876,-1.7347522,-0.3653735,0.16923836,0.27741554,-5.7335725,0.47396332,0.40324593
4,1.6512959,1.5471647,1.7515444,0.05884052,-1.0083243,-0.0075761974,-0.99961925,0.9965462,0.7046267,-1.5733583,0.031475313,-5.978674,0.20187505,0.5463868,111.43532,0.6299915313720703,-0.40294286608695984,-2.653412342071533,0.1996997050663957,0.27361286,0.2140429,0.32375264,0.026115853,-0.6474276,-3.1219568,-0.28471303,0.2929488,0.2585947,-5.7226543,0.57747763,0.54545933
5,1.6507698,1.5474315,1.7492633,0.059759565,-1.14471,-0.03861528,-0.99961925,0.9965462,0.7394447,-1.5953479,0.027452191,-5.979085,0.20024785,0.5467173,110.87612,0.6136337518692017,-0.356961190700531,-2.6447200775146484,0.1996396570615763,0.22880904,0.18106464,0.26571226,0.019777434,-0.6417242,-3.1260426,-0.24056852,0.3337359,0.25275266,-5.720429,0.60812205,0.54482174
6,1.6553608,1.5471647,1.7515444,0.059763726,-1.0955393,-0.07084174,-0.9965608,0.9965462,0.6835953,-1.4761153,0.0042816186,-5.979085,0.19861764,0.66669655,73.04824,0.9292272925376892,-0.3171348571777344,-2.5795822143554688,0.19957971479537784,0.19715327,0.16482188,0.2250136,0.014273155,-0.6009907,-2.9723165,-0.21542728,0.33950034,0.22489148,-5.7666073,0.6806979,0.66889465
7,1.6513422,1.5471647,1.750404,0.058715113,-1.0252969,-0.084363416,-0.99961925,0.9965462,0.69557154,-1.4774092,0.07058196,-0.9378575,0.20024785,0.1581877,26.902481,0.06648758798837662,-0.3456587493419647,-2.5803816318511963,0.1995198534124545,0.22567372,0.18924107,0.25788406,0.016570758,-0.6011884,-3.2246938,-0.23384565,0.3998745,0.28783324,-0.72149783,0.59510154,0.16547705
8,1.6489079,1.5471647,1.7515444,0.05671501,-1.0479298,-0.12939984,-0.9965608,0.9965462,0.6752593,-1.4095176,0.05373672,-5.978674,0.19756639,0.39629945,207.04076,0.32128849625587463,-0.36258256435394287,-2.65959095954895,0.19945996376801886,0.23288815,0.17685565,0.2530009,0.019360337,-0.6500326,-2.455451,-0.2896855,0.4045616,0.27339733,-5.73601,0.56872374,0.39760765
9,1.6531923,1.5471647,1.7515444,0.060144816,-1.105807,-0.019318795,-0.99928164,0.9965462,0.6865906,-1.4753373,0.027807862,-5.979085,0.20187505,0.5514938,107.04997,0.6096108555793762,-0.31436824798583984,-2.606611728668213,0.19940012126412837,0.19132884,0.13390681,0.20917498,0.016226284,-0.61686265,-2.4662454,-0.35754555,0.30879182,0.25133193,-5.738366,0.6110856,0.55171484
10,1.6519245,1.5471647,1.750404,0.059296608,-1.0749004,-0.13341907,-0.99961925,0.9965462,0.65184605,-1.315474,0.058030218,-5.979085,0.20187505,0.39809507,203.9395,0.3316030502319336,-0.2990550100803375,-2.5967633724212646,0.1993403325047762,0.17733039,0.13075504,0.1927599,0.013243683,-0.610454,-1.5688257,-0.41931316,0.20602182,0.27650806,-5.748663,0.5568937,0.40023884
11,1.6507609,1.5471647,1.7515444,0.061657533,-1.1402867,0.014719845,-0.99961925,0.9965462,0.6909329,-1.4896101,0.017489502,-5.978674,0.20187505,0.55279964,105.26588,0.6241328716278076,-0.31772589683532715,-2.7485947608947754,0.19928040388431265,0.17733058,0.13640241,0.19555844,0.013279682,-0.70429945,-3.6613193,-0.48205566,0.4057583,0.24209864,-5.737871,0.7169579,0.5533817
12,1.6489128,1.5471647,1.7515444,0.06224292,-1.1863623,-0.064674556,-0.99928164,0.9965462,0.6599023,-1.3983381,0.0012826696,-5.978674,0.20024785,0.66431355,73.98708,0.8930706977844238,-0.31866422295570374,-2.6466736793518066,0.19922049421412444,0.1909661,0.16752923,0.210812,0.011231081,-0.6407961,-1.3538244,-0.5366893,0.10833085,0.22857797,-5.7482924,0.6775085,0.66610295
13,1.6491667,1.5472741,1.7515444,0.056554966,-1.0471377,-0.07953066,-0.99928164,0.9965462,0.6982643,-1.5072707,0.042903587,-5.979085,0.20024785,0.5387962,118.90055,0.5835386514663696,-0.33956339955329895,-2.6902740001678467,0.1991605484094186,0.20658067,0.13417134,0.23838057,0.026758594,-0.6675153,-1.6812906,-0.5868239,0.13936037,0.27364755,-5.713094,0.83554006,0.5364511
14,1.6502333,1.5474315,1.7515444,0.05885086,-1.0854013,-0.046788577,-0.9965608,0.9965462,0.70196587,-1.5312346,0.015811834,-5.978674,0.20187505,0.6587193,77.37276,0.8644866943359375,-0.3394656479358673,-2.705799102783203,0.1991005574731601,0.20466876,0.114959836,0.25027484,0.0387577,-0.6768253,-2.2323744,-0.58554447,0.14714997,0.24591385,-5.753187,0.5531343,0.6587519
15,1.6503745,1.5474315,1.7481215,0.05674991,-1.0668397,-0.111043915,-0.99961925,0.99618036,0.6869714,-1.4679086,0.08343506,-0.7962805,0.20187505,0.10948315,33.308216,0.049446094781160355,-0.3661819100379944,-2.71793270111084,0.19904051800161118,0.22999105,0.1393336,0.28199688,0.041344948,-0.6840305,-1.4457319,-0.49858105,0.12812296,0.3135349,-0.5883651,0.5754535,0.12271267
16,1.6499509,1.5471647,1.7515444,0.05986466,-1.0716636,-0.03588779,-0.99961925,0.9965462,0.70101017,-1.5018728,0.042614922,-5.978674,0.20187505,0.40372595,190.6621,0.34431952238082886,-0.4065362215042114,-2.689250946044922,0.1989804810692939,0.27398562,0.18393509,0.32477233,0.04245145,-0.6659478,-1.8936017,-0.3935809,0.16642877,0.27654725,-5.8113427,0.56493604,0.41286722
17,1.647676,1.5471647,1.750404,0.059648182,-1.158689,-0.0070202313,-0.99961925,0.9965462,0.7053917,-1.5422184,0.025492512,-5.979085,0.20024785,0.5488551,109.016624,0.6247275471687317,-0.4431082606315613,-2.7005443572998047,0.19892043554799432,0.3092678,0.21507414,0.3561894,0.040264685,-0.67263126,-1.7194324,-0.28418744,0.21343993,0.25244248,-5.80581,0.5857943,0.5516301
18,1.653862,1.5471647,1.7515444,0.056846667,-1.0287762,-0.06497025,-0.99961925,0.9965462,0.6834642,-1.4769908,0.041477706,-5.979085,0.20187505,0.54542553,113.02119,0.6069977283477783,-0.46532291173934937,-2.690126419067383,0.19886040175963338,0.33286828,0.24073571,0.3641203,0.031440124,-0.6658673,-1.213316,-0.18025148,0.22562028,0.26991522,-5.7058487,0.7263348,0.5459672
19,1.651582,1.5471647,1.750404,0.05761075,-1.0415994,-0.02900197,-0.9965608,0.9965462,0.7338597,-1.6376625,0.03624217,-5.979085,0.20187505,0.5453501,112.69885,0.6435978412628174,-0.44967636466026306,-2.640778064727783,0.19880045212237135,0.32339948,0.25073734,0.35073295,0.028506812,-0.6350026,-2.802359,-0.09639621,0.329603,0.25958133,-5.865961,0.5872747,0.5590687
20,1.6472633,1.5471647,1.7515444,0.05890629,-0.8511003,-0.0561701,-0.99961925,0.9909677,0.6725526,-1.4323919,0.024728311,-5.979085,0.20024785,0.54381806,113.092926,0.6105654835700989,-0.42477530241012573,-2.648890495300293,0.19874056671311524,0.29759884,0.22979434,0.3216533,0.023336036,-0.63971925,-1.5330691,-0.048568487,0.30036506,0.2536761,-5.8276477,0.545705,0.54867935
21,1.6465372,1.5474315,1.7492633,0.058013637,-1.0994128,-0.043968704,-0.99961925,0.9965462,0.67479676,-1.4323723,0.081375904,-0.7962805,0.19861764,0.09745344,33.269672,0.03846166655421257,-0.3999921679496765,-2.6633362770080566,0.19868071922829916,0.27113795,0.21339016,0.29717386,0.021827908,-0.64835393,-1.1782463,-0.038551092,0.30353922,0.29810357,-0.46158072,0.6332655,0.13607465
22,1.648552,1.5471647,1.7515444,0.06091641,-1.152015,-0.0024022488,-0.99928164,0.9965462,0.6779636,-1.4380087,-0.005654284,-5.979085,0.1969858,0.6656043,73.05787,0.9090651273727417,-0.3625544607639313,-2.6966171264648438,0.19862085951752162,0.22970846,0.17980802,0.25974366,0.020967498,-0.66864073,-1.5344241,-0.051771164,0.31387866,0.21823725,-5.8673587,0.5920599,0.671585
