episode,reward,steps,updates
1,0.7680991513224118,128,0
2,1.4434679029380941,131,3
3,-0.02811252918604268,125,125
4,0.19417739289237268,122,122
5,-0.3992838807933623,125,125
6,0.4126069301068753,125,125
7,0.49540174831786743,129,129
8,0.7446630423511724,124,124
9,0.6068810065250894,125,125
10,0.28751696838627616,126,126
11,0.5290232951036717,124,124
12,0.8744689105228396,127,127
13,0.4620505359372036,127,127
14,0.8605923825718644,124,124
15,0.1694801200404079,127,127
16,-0.2050937140460789,126,126
17,0.45688749928849326,125,125
18,-0.01217629335574344,123,123
19,0.6061963055585817,127,127
20,0.20009819314436328,125,125
21,0.4495668961028052,126,126
22,0.8913415652958996,130,130
23,1.2388729242405692,133,133
24,-0.9381387322602741,120,120
25,0.7306732823306739,125,125
26,0.46308112080200203,124,124
27,1.5236980287616575,129,129
28,0.8469316743343356,126,126
29,0.7652185837578163,127,127
30,0.7169216459893129,129,129
31,-0.12013833225574011,126,126
32,1.1773080842342107,132,132
33,0.3257280296383698,127,127
34,0.028999969252998525,125,125
35,0.9268138522441411,128,128
36,0.4247831554220891,126,126
37,0.783536397334526,128,128
38,0.8000949438283573,129,129
39,1.1407456197902395,127,127
40,0.8660844464640327,127,127
41,0.7923038560514524,125,125
42,1.0442436588361748,127,127
43,-0.004770434363241094,120,120
44,-0.5033365956241749,123,123
45,0.2498536082130851,124,124
46,0.10667425187558521,122,122
47,-0.5371848499021787,117,117
48,-0.45786142336775804,120,120
49,-0.35816613432590927,120,120
50,0.460598959957089,124,124
51,0.09121207830217415,124,124
52,0.03758017819794368,122,122
53,-0.22611876676249665,119,119
54,-1.0129487104943546,115,115
55,-0.21252759067396276,121,121
56,0.0756734982620042,121,121
57,-0.6133575976562007,115,115
58,-1.013890853258136,115,115
59,-0.26530127192137165,120,120
60,-0.27150329132625295,120,120
61,-1.0413167342236616,114,114
62,-1.351009600827691,116,116
63,-1.0258299545013685,115,115
64,-1.7108935335161277,111,111
65,-1.7336350852802962,113,113
66,-1.9675646018942636,112,112
67,-1.3504896408755052,111,111
68,-1.7941553500758491,112,112
69,-1.716869167736407,109,109
70,-1.7300776689637356,111,111
71,-1.8592219934425085,110,110
72,-1.8175170809533405,111,111
73,-0.8623919352677998,113,113
74,-0.9993561527075983,112,112
75,-2.059227713608591,112,112
76,-1.2306521685952863,110,110
77,-1.5992467722115524,110,110
78,-2.054355878970953,111,111
79,-2.22043085044721,109,109
80,-2.496766681187851,107,107
81,-1.5316575793482397,110,110
82,-1.7237270988007953,108,108
83,-2.0899065224997653,107,107
84,-1.8858331776285713,107,107
85,-2.7302921666676285,107,107
86,-2.5722149823136355,107,107
87,-2.1664376480736713,107,107
88,-2.03660492646722,105,105
89,-2.633807605686565,107,107
90,-1.8639477392911914,108,108
