episode,reward,steps,updates
1,0.8731180928304081,130,0
2,0.8732923192707371,129,3
3,0.5860092898283451,128,128
4,0.6844337164708687,130,130
5,1.478874259115564,133,133
6,1.5643968292652382,134,134
7,1.3929146417737197,129,129
8,1.9809311380750732,133,133
9,1.6487753219942576,132,132
10,1.281435552164229,132,132
11,0.9505666537158959,130,130
12,0.9430408018268981,133,133
13,1.3138570044450795,131,131
14,2.4938340854334733,135,135
15,1.2509644933807849,135,135
16,1.377238449406839,135,135
17,1.3086729763258607,135,135
18,2.345451335116026,137,137
19,1.1050877157292618,132,132
20,1.764304919807138,131,131
21,1.192116313815113,131,131
22,1.346287357523364,131,131
23,0.9719184741984144,134,134
24,1.0449275083709573,131,131
25,1.6756469465549504,130,130
26,-0.1849611813705785,128,128
27,0.8313679829340579,128,128
28,1.351043698931921,130,130
29,0.7046057645549055,130,130
30,0.4647700083158046,128,128
31,-0.14544559502672527,124,124
32,0.10127749275381781,127,127
33,0.11436169913517702,127,127
34,0.3324962271976837,127,127
35,0.4096844807820439,127,127
36,0.5294337593136476,127,127
37,0.10780718876536888,121,121
38,-0.3575477635359441,122,122
39,-0.7845091500025632,122,122
40,0.6737369459934097,125,125
41,0.5461867882303313,125,125
42,-0.09907371005352061,123,123
43,0.6377178188453669,125,125
44,0.929305080132071,125,125
45,0.49695362847359803,127,127
46,-0.364081639520478,123,123
47,-0.14209965198690888,123,123
48,0.11290245379513841,125,125
49,0.40902729284645467,122,122
50,-0.19190460325951086,121,121
51,-0.1975989739292281,119,119
52,-1.1911477996378608,119,119
53,-0.6116665664318912,119,119
54,-1.202389661113818,118,118
55,-1.2364772122400467,116,116
56,-0.18952697120443496,117,117
57,-1.4749213113905526,115,115
58,-1.0806781030575046,116,116
59,-1.1578023014372008,117,117
60,-0.8765803594212382,116,116
61,-1.0058286308773923,115,115
62,-1.2519709437776037,115,115
63,-1.7040130836002056,114,114
64,-1.0068196158279683,116,116
65,-0.9670069876241953,117,117
66,-0.9639809922989677,119,119
67,-1.4478255636456385,115,115
68,-1.2402287892744397,115,115
69,-0.8948740161186706,115,115
70,-1.3910223986529946,116,116
71,-1.722184180722227,111,111
72,-1.4081738494251699,110,110
73,-1.341150303387959,110,110
74,-1.993400610452614,109,109
75,-1.7884024893343007,107,107
76,-1.833451638938019,107,107
77,-1.9059648389406352,108,108
78,-2.3945281469149515,108,108
79,-1.9425284140069117,108,108
80,-2.052616794480574,110,110
81,-2.0274456158969363,110,110
82,-2.057339291975536,111,111
83,-1.8106993670550136,112,112
84,-1.2479547673149387,111,111
85,-1.8702241463285691,110,110
86,-1.5639733493699364,110,110
87,-1.5169763647126597,110,110
88,-2.039376617264919,111,111
89,-2.1553820296260824,109,109
90,-1.465515119435704,109,109
91,-1.5738520736434207,109,109
92,-1.6638861375900529,111,111
93,-2.1968457659505196,110,110
94,-2.061001679850552,111,111
95,-1.8689996587037676,112,112
96,-1.6510888975319347,111,111
97,-1.1387350278329968,112,112
98,-1.9953604287103186,111,111
99,-1.5801927444646306,111,111
100,-1.5588393369590854,110,110
101,-1.5390495970697913,111,111
102,-1.8506080161064773,111,111
103,-1.0961510754161274,112,112
104,-2.228073530467926,111,111
105,-2.0702842565530233,112,112
106,-1.5977178210342746,109,109
107,-1.1221010698177647,111,111
108,-1.3888240549855553,110,110
109,-2.197629984565334,112,112
110,-2.1361889085262495,111,111
111,-2.041643961734679,111,111
112,-1.8778567692350858,110,110
113,-2.2403923078337264,110,110
114,-1.5068715791446596,109,109
115,-2.307520309496301,109,109
116,-1.4424639564223902,109,109
117,-1.4429441526436602,109,109
118,-1.7351236368495861,109,109
119,-2.6529117399029207,108,108
120,-1.624796278222183,108,108
121,-2.2826531854586163,108,108
122,-2.3646300315068416,108,108
123,-1.665531784889403,108,108
124,-2.6350506083458063,107,107
125,-2.397940929633907,107,107
126,-1.9730172588289552,107,107
127,-2.450683038774981,107,107
128,-2.5511823015053636,108,108
129,-2.5349373256837637,106,106
130,-2.8918947883164607,105,105
131,-1.9417778040275593,106,106
132,-2.1963388622347377,106,106
133,-2.495556258874082,107,107
134,-2.426141469537007,107,107
135,-2.0126482598039868,105,105
136,-2.211783755493771,105,105
137,-2.700109665784171,106,106
138,-2.6910105292119093,107,107
139,-2.3571280077832766,107,107
140,-2.325540376522669,107,107
141,-1.7159352162550743,108,108
142,-1.9115948566898933,107,107
143,-1.757317629454553,107,107
144,-2.4406542240268507,108,108
145,-2.1305636713691385,107,107
146,-1.9915546645279747,107,107
147,-1.85895801323832,106,106
148,-2.7237361837339344,106,106
149,-2.193252203858836,106,106
150,-2.0961637634930774,105,105
151,-2.298160183946165,106,106
152,-2.226669312013186,105,105
153,-2.545973850360806,106,106
154,-2.6592501750974833,108,108
155,-2.573157120065864,108,108
156,-2.3813342579691525,108,108
157,-2.493988150248665,109,109
158,-1.6678482429179269,108,108
159,-1.8059180742724514,111,111
160,-1.3584508186355766,110,110
161,-2.21774619820561,109,109
162,-2.4753580044266386,109,109
163,-2.3948531478132065,110,110
164,-2.0272783197819146,110,110
165,-1.6225233224417188,108,108
166,-2.395141273153472,108,108
167,-2.3200733615319145,108,108
168,-2.363497239704559,107,107
169,-2.4874729474893664,108,108
170,-1.9028610060737439,108,108
171,-2.5232822300832662,108,108
172,-1.9099610526651016,107,107
173,-2.1207844231074944,107,107
174,-1.8168782886282457,107,107
175,-2.389009701753076,109,109
176,-1.7136600814258536,109,109
177,-1.2417233570939974,111,111
178,-1.2082703970497786,114,114
179,-0.632921208940683,118,118
180,-0.08165757456920097,124,124
181,0.15916180884557996,126,126
182,0.6733880906049272,127,127
183,0.07084443356342618,126,126
184,0.2401684755732436,128,128
185,0.23231656901515407,127,127
186,1.275794380509467,130,130
187,0.48166218928659,129,129
188,1.397454764133851,131,131
189,0.8227518782768488,130,130
190,0.9633592183362705,129,129
191,1.4638628058839185,131,131
192,1.4409205150226292,131,131
193,1.3244384468013326,131,131
194,1.571425462374659,133,133
195,1.5671130012209034,131,131
196,0.44583317444621784,129,129
197,1.6167688199519805,131,131
198,1.2844405275116308,134,134
199,1.7670239968044097,138,138
200,1.6619228257654317,137,137
201,1.31186607033451,135,135
202,1.629910518837736,136,136
203,2.573574881538782,137,137
204,2.643594663288077,137,137
205,1.5184764876217827,135,135
206,2.215845581050095,136,136
207,1.9269334989613522,134,134
208,1.631208016505365,132,132
209,1.019033305756988,133,133
210,2.0163219782997768,137,137
211,2.0028093238860407,138,138
212,2.3715991002839427,140,140
213,3.2559231218083475,142,142
214,3.243523322954804,146,146
215,3.7346032396431443,149,149
216,3.8087361239347803,146,146
217,3.7190512764698873,150,150
218,3.10245859029539,147,147
219,3.6354633602487354,149,149
220,4.346148490230364,148,148
221,4.54056191180927,151,151
222,4.640966790657005,150,150
223,3.3490831355977644,148,148
224,3.5469567011525225,149,149
225,3.8623629044481014,147,147
226,3.8591525422214144,146,146
227,2.4647673954123253,142,142
228,2.735909358872309,142,142
229,2.677019838533173,141,141
230,2.2904454229124376,141,141
231,3.1575334386541023,141,141
232,2.6080357762373527,142,142
233,2.556745812339088,141,141
234,2.6838716386486645,140,140
235,2.306040189728522,141,141
236,2.456480888706219,142,142
237,2.635032726080224,142,142
238,3.4698020720528255,144,144
239,2.8292158428433307,142,142
240,3.1808440142849648,140,140
241,2.981276185976103,139,139
242,2.9795636972198576,141,141
243,2.2518610568622606,142,142
244,3.02857035112679,142,142
245,3.130005106747058,142,142
246,2.403338330362578,141,141
247,2.684284566981738,142,142
248,2.9236595166882076,142,142
249,2.8360403121830604,143,143
250,2.852569156119081,142,142
251,2.6547866835296112,144,144
252,3.2283344440412183,146,146
253,2.984452715978918,145,145
254,3.0617676497896706,144,144
255,3.4551438047975473,147,147
256,3.593779250772311,146,146
257,4.099393274434819,147,147
258,3.139467303583114,147,147
259,4.376573525664167,149,149
260,4.6047013155919,154,154
261,4.18793185057736,150,150
262,3.9687685045855723,151,151
263,3.813791766093738,151,151
264,3.550379622741511,151,151
265,4.723850467181096,157,157
266,5.7872811580992085,161,161
267,6.9859635946338905,165,165
268,8.158380525579066,173,173
269,7.1532273895483485,168,168
270,8.14747211338323,173,173
271,8.590721983773712,177,177
272,8.981775221133724,182,182
273,8.44840771318221,175,175
274,7.867361768733421,171,171
275,6.208316351514302,164,164
276,6.77656736304483,165,165
277,7.519162773669475,167,167
278,8.020704872446089,170,170
279,7.362729507793489,171,171
280,6.430336779188369,167,167
281,7.236308996823105,169,169
282,7.505770750571678,171,171
283,7.776663005279527,170,170
284,7.4879971830690195,170,170
285,7.094765899257105,169,169
286,7.646235489035785,169,169
287,7.570460803772516,168,168
288,7.463829961583979,170,170
289,7.596378575528149,173,173
290,7.981635752971847,172,172
291,8.043198002168879,170,170
292,7.912614827038336,171,171
293,7.9689467002121965,175,175
294,8.716692038920094,176,176
295,8.262937265876765,175,175
296,8.37798072150791,177,177
297,9.677459528443052,182,182
298,10.055386466813385,185,185
299,10.54892156196896,189,189
300,11.324610800018249,195,195
301,12.198911283301236,209,209
302,12.921465732132173,228,228
303,12.578849215320773,224,224
304,12.374019226895431,224,224
305,12.309685086449932,224,224
306,12.592497142520322,222,222
307,93.88205545386874,487,487
308,6.758782817069044,170,170
309,6.941197515141102,172,172
310,6.680834003690446,167,167
311,7.116173569983431,170,170
312,6.233043819195835,168,168
313,6.9360971710899655,166,166
314,6.542306560655515,166,166
315,5.783089904097807,164,164
316,5.598184053004875,163,163
317,5.671724341935452,162,162
318,5.253759687659574,161,161
319,5.603266556386629,162,162
320,6.279038439528268,162,162
321,6.687318374363478,165,165
322,7.347106584650213,170,170
323,7.057165403537539,170,170
324,7.293348646704683,173,173
325,7.4120193551383124,171,171
326,6.290867746432774,169,169
327,7.1470330775298265,172,172
328,6.802824655610227,170,170
329,7.793073572774723,173,173
330,6.889622643588492,173,173
331,7.096970000150865,175,175
332,7.592927679776725,173,173
333,7.5854248493678895,175,175
334,6.811802251210128,174,174
335,6.5886229141429205,172,172
336,6.963793847493424,176,176
337,7.826391701102878,176,176
338,7.871006707105895,177,177
339,7.967491381593096,179,179
340,7.668357208516845,179,179
341,8.003229245056271,176,176
342,6.893741315561591,173,173
343,8.190169433418756,182,182
344,6.879254331333062,175,175
345,7.196020454612782,176,176
346,7.580961582339231,174,174
347,7.221508853506535,172,172
348,7.998082885260914,182,182
349,7.894301569462364,178,178
350,8.002990450564727,178,178
351,8.21731266259668,180,180
352,7.614763974573474,178,178
353,7.667547098383231,177,177
354,8.129948611686459,180,180
355,8.403869498184466,184,184
356,8.299047931283987,189,189
357,9.044499155363113,191,191
358,8.698235261015206,192,192
359,9.111466378945781,190,190
360,8.233144879413722,186,186
361,8.414405642199199,190,190
362,9.230466123048206,202,202
363,8.539549584385082,185,185
364,7.965789610300369,186,186
365,8.044456548851581,183,183
366,7.688994027177888,183,183
367,8.147410112712649,181,181
368,8.214775522925446,183,183
369,8.468112152897202,183,183
370,8.198403320429385,188,188
371,7.769383137982892,184,184
372,8.90972355792805,187,187
373,8.292479013425602,184,184
374,7.590866717481294,181,181
375,8.495725525553585,181,181
376,8.045457325411562,185,185
377,8.388243792938631,187,187
378,7.373536448896832,180,180
