episode,reward,steps,updates
1,-3.522080929720727,122,0
2,-3.491018529135947,124,0
3,-3.454637773387666,126,116
4,-3.4212236745905633,129,129
5,-3.4199836027148836,129,129
6,-3.4173368937145785,129,129
7,-3.386834981196662,131,131
8,-3.415123182596715,129,129
9,-3.4177643583322954,129,129
10,-3.464311420290226,125,125
11,-3.410564693535192,129,129
12,-3.435703225800208,127,127
13,-3.435900991001028,128,128
14,-3.437592509808945,128,128
15,-3.4337855695982826,128,128
16,-3.4215191725753744,128,128
17,-3.443450805910132,127,127
18,-3.4488239219606123,126,126
19,-3.3845355038516516,131,131
20,-3.430456430493357,128,128
21,-3.403772788308257,130,130
22,-3.4404000796029677,127,127
23,-3.4075855882728243,129,129
24,-3.395512396024011,130,130
25,-3.401151517262316,130,130
26,-3.4153212273302653,129,129
27,-3.4541815609329514,126,126
28,-3.450920869035316,126,126
29,-3.478586036961174,124,124
30,-3.448532766772125,127,127
31,-3.471527546599834,125,125
32,-3.4728956336108316,125,125
33,-3.485285161448312,124,124
34,-3.46671113378831,126,126
35,-3.433619486106309,128,128
36,-3.451195650145287,127,127
37,-3.4970581665885363,123,123
38,-3.4511124514314133,127,127
39,-3.515117929867511,122,122
40,-3.4993678461316167,123,123
41,-3.506001916292185,122,122
42,-3.448340006493919,127,127
43,-3.494400718662679,123,123
44,-3.460832771585144,126,126
45,-3.4576501363193057,126,126
46,-3.4902558229781118,123,123
47,-3.47197926984816,125,125
48,-3.4740586438326595,125,125
49,-3.5023840210079067,123,123
50,-3.532616208994648,121,121
51,-3.4892218807056294,124,124
52,-3.512475143932808,122,122
53,-3.5091137389103513,122,122
54,-3.5435812611201802,120,120
55,-3.459528167130191,126,126
56,-3.5308439154344504,121,121
57,-3.5332575890756885,121,121
58,-3.5893624303182774,117,117
59,-3.521096686347203,121,121
60,-3.570741879653318,118,118
61,-3.5588493007947957,119,119
62,-3.542916027611475,120,120
63,-3.5526424840918827,120,120
64,-3.592737311320342,116,116
65,-3.5875331105967616,117,117
66,-3.5567968819750737,119,119
67,-3.57196129247317,118,118
68,-3.6182186264249676,115,115
69,-3.5886844065840666,117,117
70,-3.629223843653552,114,114
71,-3.60882053637154,115,115
72,-3.588069719891055,117,117
73,-3.583182081552268,117,117
74,-3.61516620972082,115,115
75,-3.637910642445524,113,113
76,-3.6338289009188314,113,113
77,-3.596658077943684,116,116
78,-3.637021738606735,113,113
79,-3.632615349682564,114,114
80,-3.6835238656891702,110,110
81,-3.5895903709576427,117,117
82,-3.645949900890344,113,113
83,-3.6574425852912436,112,112
84,-3.6632380474703266,111,111
85,-3.686807503573716,110,110
86,-3.655864578715759,112,112
87,-3.6594678302522947,112,112
88,-3.6686592197435663,111,111
89,-3.651810387770621,112,112
90,-3.6590592018452375,112,112
91,-3.6894820279179976,110,110
92,-3.6952928171029242,109,109
93,-3.685209356939181,110,110
94,-3.677344979172002,110,110
95,-3.662121735080816,111,111
96,-3.679719194298755,110,110
97,-3.6708746406757777,111,111
98,-3.705450146134126,109,109
99,-3.689049294372143,110,110
100,-3.6907399843363633,110,110
101,-3.686740411671883,110,110
102,-3.6987874934150202,109,109
103,-3.695584435019674,109,109
104,-3.6742721707064803,111,111
105,-3.683298606638145,110,110
106,-3.7230245608696793,107,107
107,-3.7139827644524415,108,108
108,-3.7126980590146923,108,108
109,-3.742496070438187,106,106
110,-3.713163867756067,108,108
111,-3.724758419523578,107,107
112,-3.7284755091497424,107,107
113,-3.712765544498396,108,108
114,-3.7435287692271166,106,106
115,-3.7430181775412024,106,106
116,-3.7305955993859263,107,107
117,-3.7447079034243957,106,106
118,-3.7320898374543017,107,107
119,-3.716434476029291,108,108
120,-3.711234150603312,108,108
121,-3.7178513019752533,108,108
122,-3.730160336336821,107,107
123,-3.7114881594329416,108,108
124,-3.70253519070895,109,109
125,-3.7347810577206833,107,107
126,-3.7342037459366093,107,107
127,-3.733476931560215,107,107
128,-3.7442598382695507,106,106
129,-3.731033352709407,107,107
130,-3.745965392527588,106,106
131,-3.7289008531674677,107,107
132,-3.741314131968065,106,106
133,-3.7263250665294154,107,107
134,-3.7583695548057685,105,105
135,-3.744832831417966,106,106
136,-3.756879044573098,105,105
137,-3.7538106787071204,105,105
138,-3.754008235365068,105,105
139,-3.7396367332188953,106,106
140,-3.7600611009170484,105,105
141,-3.745042334290871,106,106
142,-3.7581337985845416,105,105
143,-3.755979638547723,105,105
144,-3.738177494624524,106,106
145,-3.740028307029088,106,106
146,-3.7528729854065714,105,105
147,-3.760984412029277,105,105
148,-3.7431236684852225,106,106
149,-3.7413576932104657,106,106
150,-3.743779179055267,106,106
151,-3.7590394969363468,105,105
152,-3.755007391641114,105,105
153,-3.757506150520216,105,105
154,-3.7401553723876435,106,106
155,-3.7392199927588132,106,106
156,-3.726886052408003,107,107
157,-3.7124094319205634,108,108
158,-3.6966563962497907,109,109
159,-3.680061300811135,110,110
160,-3.670652528229481,111,111
161,-3.6587818719099823,112,112
162,-3.6656174941529023,111,111
163,-3.6300447444169515,114,114
164,-3.645074112394627,113,113
165,-3.6537510796163195,112,112
166,-3.6563510170767533,112,112
167,-3.669182171703696,111,111
168,-3.6971227447445383,109,109
169,-3.7129700108501744,108,108
170,-3.729242598116035,107,107
171,-3.7248493426444433,107,107
172,-3.7290803695667187,107,107
173,-3.745465767312117,106,106
174,-3.745750177496916,106,106
175,-3.745524860465352,106,106
176,-3.7282108947004735,107,107
177,-3.7281797581271334,107,107
178,-3.6811652599136764,110,110
179,-3.683892760942226,110,110
180,-3.6867391398950877,110,110
181,-3.667806079909388,111,111
182,-3.687018500460653,110,110
183,-3.685751875781609,110,110
184,-3.70133151156424,109,109
185,-3.6834751307281453,110,110
186,-3.680461753289806,110,110
187,-3.6942635103600523,109,109
188,-3.700575927483812,109,109
189,-3.6964453292436543,109,109
190,-3.7132145449784977,108,108
191,-3.7104075497007845,108,108
192,-3.71165864479793,108,108
193,-3.7083279763273023,108,108
194,-3.7276522881530356,107,107
195,-3.7271289259021625,107,107
196,-3.7251175412467425,107,107
197,-3.693126763692594,109,109
198,-3.714355689864597,108,108
199,-3.6956451450709995,109,109
200,-3.726055803987241,107,107
201,-3.690585201235292,109,109
202,-3.6821796486715526,110,110
203,-3.685619865386135,110,110
204,-3.682408555645532,110,110
205,-3.6990086533788977,109,109
206,-3.6935325395369407,109,109
207,-3.683526954805992,110,110
208,-3.6505498740638638,112,112
209,-3.650572112621447,112,112
210,-3.6642663651755165,111,111
211,-3.650234032916517,112,112
212,-3.62113802958097,114,114
213,-3.6195819173542882,114,114
214,-3.6046985372719633,115,115
215,-3.611210963379607,115,115
216,-3.6493347334291375,112,112
217,-3.666533133564351,111,111
218,-3.667307860830344,111,111
219,-3.63262486113055,113,113
220,-3.604290423037607,115,115
221,-3.59505841216696,116,116
222,-3.609836867817127,115,115
223,-3.6374063025814687,113,113
224,-3.619286808497554,114,114
225,-3.653421086653216,112,112
226,-3.6181769492171587,114,114
227,-3.619222110608189,114,114
228,-3.601830066292573,115,115
