episode,reward,steps,updates
1,-19.53509595629416,126,0
2,-18.742253713925713,131,1
3,-17.720649974346642,135,135
4,-14.665780161773466,142,142
5,-15.444727410429518,141,141
6,-16.140827955262733,141,141
7,-14.536794612815434,146,146
8,-14.427053266423668,145,145
9,-16.161021862716495,143,143
10,-16.08851387129505,141,141
11,-16.703384206358564,138,138
12,-18.955159197425385,131,131
13,-17.816650734366917,133,133
14,-17.463356412105583,134,134
15,-16.958619377702213,135,135
16,-18.972513233569956,128,128
17,-19.266813734928732,128,128
18,-18.928989388224483,130,130
19,-18.42942062880214,131,131
20,-17.673186084798687,132,132
21,-17.64184062346201,136,136
22,-16.956363310134982,136,136
23,-16.365897882109813,140,140
24,-16.078427385171324,140,140
25,-16.024662948259866,142,142
26,-16.01883527253531,139,139
27,-15.854727832336108,141,141
28,-16.607369120404883,139,139
29,-15.854342532725719,139,139
30,-15.707217166147117,143,143
31,-16.3916560958698,137,137
32,-16.364608798530377,137,137
33,-16.273614506464405,136,136
34,-17.22920811362855,135,135
35,-16.73742438036865,138,138
36,-17.334010908933283,134,134
37,-17.97520141823259,133,133
38,-19.141240020014536,131,131
39,-18.917591103486963,127,127
40,-19.2928560556132,128,128
41,-19.06014981998524,128,128
42,-20.7472285256598,124,124
43,-20.810988896671233,123,123
44,-20.912671150844858,120,120
45,-20.371566358199775,123,123
46,-19.617259242956685,127,127
47,-19.705080747141935,127,127
48,-20.774261985043392,124,124
49,-19.8686830553972,125,125
50,-19.662601939003494,125,125
51,-20.879560514899012,122,122
52,-20.17774014282862,124,124
53,-20.22189856995081,124,124
54,-19.37544726694378,126,126
55,-20.863678299668592,121,121
56,-21.22906032120762,120,120
57,-21.462809972171904,121,121
58,-19.833139977570333,124,124
59,-20.432162849680914,121,121
60,-22.282609736437685,116,116
61,-21.605387185529796,116,116
62,-22.36053994783812,115,115
63,-22.876210585284475,113,113
64,-23.028618646535357,113,113
65,-23.952812532910034,110,110
66,-24.25975438639243,110,110
67,-23.76755382141318,110,110
68,-24.58095324981724,108,108
69,-24.70299835609416,108,108
70,-24.95784493097719,107,107
71,-24.871317393098018,108,108
72,-24.46682382880348,106,106
73,-24.632717634875103,106,106
74,-24.316873614431884,107,107
75,-24.16406063054854,107,107
76,-24.980238751994328,105,105
77,-24.992783589570095,105,105
78,-24.97426003033759,105,105
79,-25.13419081447911,103,103
80,-25.142365822805882,104,104
81,-25.16082126713975,104,104
82,-25.144884141105514,104,104
83,-25.0558772618838,104,104
84,-24.952636688242528,104,104
85,-25.30025473390972,105,105
86,-24.813873738371484,106,106
87,-24.677443495403164,105,105
88,-24.969606219420427,105,105
89,-24.648210166035273,105,105
90,-24.695835962548056,107,107
91,-24.59439290884038,108,108
92,-23.96176587521758,108,108
93,-24.476802993462034,107,107
94,-24.094418913197536,108,108
95,-23.018893832251123,112,112
96,-23.103848875164307,113,113
97,-23.449710775525773,113,113
98,-22.8115558633192,113,113
99,-22.44973629477842,115,115
100,-22.73663282505335,115,115
101,-23.096725995503483,114,114
102,-22.65218594157968,113,113
103,-22.36154092716142,114,114
104,-22.923219255988702,112,112
105,-22.735553291606795,114,114
106,-22.10646169677628,116,116
107,-22.780162536383834,114,114
108,-23.654389276931262,113,113
109,-22.70518352833576,115,115
110,-22.137852991973944,115,115
111,-22.6037870673375,115,115
112,-22.236955586969103,115,115
113,-20.787681066705467,121,121
114,-21.401147508531444,120,120
115,-21.356603675049826,117,117
116,-20.777938702452303,121,121
117,-21.177777904281335,121,121
118,-20.943959617754075,119,119
119,-21.95661407337346,120,120
120,-20.991561692833486,120,120
121,-20.97466045312695,121,121
122,-20.716939588909398,119,119
123,-20.223633217412704,122,122
124,-20.408847426037152,125,125
125,-20.41515508196954,123,123
126,-20.20440194793249,123,123
127,-20.470253333231312,122,122
128,-21.55278316760465,118,118
129,-19.523641768650545,127,127
130,-20.077579680321378,124,124
131,-20.554228605190524,120,120
132,-19.58902248547706,124,124
133,-20.066159708625438,125,125
134,-19.016521218387062,129,129
135,-20.302671393638214,125,125
136,-19.145273665572617,125,125
137,-19.466768544458798,125,125
138,-18.274200294962874,130,130
139,-19.397673030149534,128,128
140,-19.45204801404819,127,127
141,-17.415094328873636,134,134
142,-18.12113532713761,132,132
143,-16.788508210773525,139,139
144,-17.672292588865034,134,134
145,-17.55107066291997,135,135
146,-16.516967330658506,136,136
147,-17.35569800558451,136,136
148,-15.727564362974363,142,142
149,-15.862980788878511,141,141
150,-14.247067182620706,148,148
151,-15.877066466604349,138,138
152,-15.913062872352858,140,140
153,-16.19095568285154,137,137
154,-15.719542351343017,143,143
155,-14.066405082227131,148,148
156,-14.385033587194496,146,146
157,-15.932030683865573,138,138
158,-15.666974990328546,141,141
159,-14.658859269580741,148,148
160,-14.983226055240586,143,143
161,-17.90196107508205,133,133
162,-14.285750429476176,145,145
163,-16.427898304087446,135,135
164,-14.816192631221735,145,145
165,-14.487248769181218,145,145
166,-16.337141471198308,140,140
167,-14.488954337781719,147,147
168,-12.159426213275008,153,153
169,-16.065801486091686,140,140
170,-15.850790881186809,143,143
171,-14.151734214892466,147,147
172,-13.383180650058545,148,148
173,-17.273168603554254,135,135
174,-14.317792700373795,147,147
175,-14.223884489000303,148,148
176,-15.312919249448656,146,146
177,-11.896956416246498,153,153
178,-10.457409344806408,159,159
179,-6.774569365826903,170,170
180,-10.747723504167855,165,165
181,-4.821979678034964,182,182
182,-0.11657913504141959,205,205
183,117.57338050871823,461,461
184,111.62362290491451,453,453
185,115.41136995221478,459,459
186,120.19581716762275,466,466
187,119.17985935075967,463,463
188,123.97116732672325,469,469
189,124.90620671320418,473,473
190,128.09698119734097,481,481
191,127.96356173217127,477,477
192,119.25445316426656,463,463
193,117.7761300251772,460,460
194,114.50842780708517,454,454
195,117.92657834320512,459,459
196,116.63617501726442,455,455
197,114.15071677258855,452,452
198,115.58799864411547,453,453
199,113.98163139693058,450,450
200,111.84715255066446,447,447
201,113.64727692732023,450,450
202,116.04467581580245,453,453
203,115.39779890801472,452,452
204,114.93128556236024,452,452
205,106.9896205516768,439,439
206,107.37927615794592,441,441
207,111.67445228602404,448,448
208,112.43864452305102,450,450
209,111.67070361998196,450,450
210,110.05274053267422,447,447
211,110.70587494243243,449,449
212,111.8337363165963,448,448
213,109.75657399109028,446,446
214,112.73675217587336,451,451
215,112.55226396494528,449,449
216,107.82715267293383,441,441
217,110.26748261750966,446,446
