#{"t_start": 1742555851.5384393, "env_id": "None"}
r,l,t
-16.54439,101,1.583981
-16.437247,101,3.724061
-16.881713,101,5.598511
-16.491647,101,7.895917
-16.592393,101,9.597535
-16.57643,101,11.627601
-16.826166,101,13.560602
-16.595737,101,15.529146
-16.760945,101,17.469561
-16.773605,101,20.045207
-16.570454,101,22.387472
-16.435644,101,24.404619
-16.870913,101,26.659844
-16.70407,101,28.19967
-17.356099,101,30.326675
-16.760003,101,32.818999
-16.962803,101,34.943119
-16.855556,101,37.23953
-16.851206,101,39.256482
-17.925474,101,41.638042
-16.50289,101,43.477114
-16.757334,101,45.334268
-17.178229,101,47.676619
-18.559735,101,49.516883
-18.033016,101,51.325043
-18.613299,101,53.76387
-16.906304,101,55.800837
-17.791192,101,57.752141
-17.352235,101,59.635431
-20.330966,1,59.667516
-20.317743,2,59.788469
-17.363326,101,62.288758
-17.345996,101,64.30799
-15.002169,193,68.551664
-18.249597,101,70.930355
-17.400986,101,72.853639
-17.700523,101,74.839515
-16.605788,101,76.840636
-17.301469,101,78.890787
-16.154067,101,80.971301
-16.98007,101,83.082051
-16.349669,101,85.470291
-15.775545,115,89.712757
-15.869408,103,92.277871
-20.33097,1,92.298288
-16.044943,101,95.005586
-20.330957,1,95.035155
-16.87612,101,97.391899
-20.317742,2,97.424851
-16.095765,101,98.901187
-16.256518,101,101.378568
-17.664288,101,103.759356
-18.862867,101,106.105253
-18.227024,101,109.196342
-18.354359,101,111.506881
-17.600419,101,113.461855
-18.399916,101,116.293254
-16.818142,101,118.495301
-18.471355,101,120.443728
-18.062725,101,122.683021
-17.932638,101,124.552801
-17.77401,101,126.367158
-17.676465,101,128.359915
-18.248971,101,130.392156
-17.631151,101,132.214825
-17.552251,101,134.067269
-17.180372,101,136.303208
-17.755763,101,138.15426
-17.652028,101,139.994641
-17.036409,101,142.215951
-16.93482,101,144.085187
-17.371862,101,145.943929
-17.661609,101,147.799578
-17.447586,101,150.114486
-17.021051,101,151.957088
-17.417133,101,154.059997
-17.10994,101,156.398621
-16.739722,101,158.66819
-15.890674,103,160.20435
-16.876164,101,162.635302
-17.111417,101,164.946073
-16.796453,101,166.507598
-16.927242,101,168.789446
-16.512376,101,171.09725
-16.9604,101,172.974901
-16.694401,101,174.821673
-17.203945,101,177.06578
-16.107824,104,178.966609
-15.860719,120,181.335852
-16.059131,115,183.544699
-15.842706,123,186.527231
-16.222222,101,188.97308
-16.811713,101,191.036565
-15.40778,172,194.66868
-16.260155,109,196.60542
-16.794796,101,198.539745
-16.234557,101,201.036965
-16.446003,101,203.321131
-16.451876,101,205.279486
-17.038376,101,207.460482
-16.438682,101,209.529858
-16.272934,101,211.475785
-16.531948,101,214.095629
-16.53281,101,216.446828
-16.687714,101,218.937731
-16.189292,101,220.865211
-16.009371,101,223.570617
-16.704821,101,225.700338
-16.486008,101,227.825698
-20.330965,1,227.841969
-16.461588,101,229.816396
-16.591976,101,232.400774
-16.177315,101,234.522176
-15.817514,124,236.920009
-16.211429,101,239.533117
-20.33096,1,239.54775
-15.872085,128,242.229164
-16.059897,122,244.401982
-15.851807,125,247.241173
-16.241316,101,249.59004
-16.341999,101,252.059495
-20.330956,1,252.073768
-16.183497,101,254.149613
-20.330971,1,254.210627
-20.330967,1,254.270966
-15.965465,109,256.527867
-16.050471,101,258.777112
-16.147146,101,260.966213
-16.192753,101,263.612717
-15.940585,101,266.258623
-16.54792,101,268.360732
-16.25951,101,270.678593
-16.136658,101,272.768237
-15.53058,135,275.672584
-16.130198,101,277.742651
-15.825767,116,280.319461
-15.864811,110,282.67166
-16.500734,101,284.645262
-15.441181,147,287.946059
-15.716417,127,290.768493
-15.410627,137,293.717925
-16.380478,101,296.046554
-16.500147,101,298.071392
-16.356025,101,300.401974
-17.128798,101,302.766927
-16.577878,101,304.425469
-15.691453,120,307.178603
-15.548256,132,309.692133
-15.896312,113,312.296963
-15.904994,113,315.118291
-16.693183,101,317.658685
-15.495549,178,322.039471
-16.200111,101,324.400535
-16.794583,101,326.707119
-15.568705,130,329.416718
-15.412289,146,332.606502
-15.629993,117,334.784246
-16.536595,101,336.667361
-14.99237,183,340.544773
-16.877707,101,343.611768
-16.598516,101,346.275392
-16.886161,101,348.965234
-16.154395,101,352.447067
-15.404612,140,356.348526
-15.214024,158,361.203146
-15.231463,154,365.132906
-15.30139,150,368.074624
