#{"t_start": 1741851694.8800337, "env_id": "None"}
r,l,t
-0.047228,1,0.902682
-0.047177,1,0.903358
-0.04727,1,0.903999
-0.047221,1,0.904633
-0.047221,1,0.905256
-0.04829,64,0.946882
-0.047221,1,0.947514
-0.047256,1,0.948303
-0.047221,1,0.948918
-0.047258,1,0.949528
-0.047278,1,0.950186
-0.036576,103,2.354523
-0.047221,1,2.372283
-0.047303,1,2.389467
-0.047209,2,2.42414
-0.047226,2,2.459598
-0.047195,1,2.475934
-0.047221,1,2.491783
-0.047271,1,2.506662
-0.047211,2,2.536184
-0.047208,1,2.550936
-0.047221,1,2.565545
-0.037225,85,3.883744
-0.047221,1,3.899042
-0.047221,1,3.91624
-0.047221,1,3.931314
-0.047259,1,3.946354
-0.047189,1,3.961952
-0.047253,2,4.003288
-0.047184,1,4.019771
-0.047442,6,4.141424
-0.047221,1,4.159274
-0.047285,1,4.177394
-0.044622,71,5.417855
-0.047101,7,5.537239
-0.047173,1,5.555553
-0.043779,71,6.714561
-0.047257,1,6.730602
-0.047246,1,6.746778
-0.047223,1,6.763305
-0.042788,73,7.926557
-0.047233,1,7.943665
-0.047255,1,7.959368
-0.047237,1,7.974893
-0.047221,1,7.991158
-0.047265,1,8.007855
-0.047221,1,8.023823
-0.047245,1,8.039484
-0.047221,1,8.056126
-0.047221,1,8.073283
-0.047208,1,8.089098
-0.047221,1,8.10403
-0.047279,3,8.150173
-0.04732,1,8.169289
-0.04717,1,8.188491
-0.047253,1,8.205964
-0.047221,1,8.221014
-0.047221,1,8.235944
-0.047283,1,8.250724
-0.047204,1,8.265604
-0.047178,2,8.29504
-0.043562,110,10.046692
-0.047221,1,10.061877
-0.04724,1,10.077222
-0.047293,3,10.123478
-0.04724,1,10.139369
-0.047242,2,10.170395
-0.047206,1,10.186155
-0.047181,1,10.20202
-0.034281,84,11.68155
-0.047221,1,11.704078
