time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg]
446.0000000000329,18438.49960792544,35629.874546763625,-60.1883565925514,-1627.2994540656043,1.568157197631612,0.0007723778467928709,4.675419181857333,-3.1072619842257216,936060.5791577564,489225.9351440449
446.10000000003294,18432.48278725762,35468.05302840817,-60.168206678211455,-1618.2151835545815,1.5682236089210768,0.0006641128946480383,4.675224267695285,-3.107000658774208,933461.6277417408,486626.9837280293
446.20000000003296,18426.467939049577,35307.19546263786,-60.14848208043769,-1608.5756577030888,1.5682772736412909,0.0005366472021400326,4.675014006895871,-3.1067367332545803,930726.1121167408,483891.4681030293
446.300000000033,18420.454976435496,35147.295435939974,-60.12962614080168,-1599.0002669788264,1.5683180208391605,0.0004074719786957165,4.674802177982923,-3.106484157143763,928015.4502515064,481180.8062377949
446.400000000033,18414.443858637675,34988.34512070453,-60.111177978202456,-1589.503152354474,1.568346267080101,0.00028246240940485326,4.674589403799177,-3.106243136719076,925333.1218823658,478498.4778686543
446.500000000033,18408.43457155207,34830.33815934557,-60.092870856073816,-1580.0696135896196,1.568362573832407,0.00016306752305998804,4.674375514177328,-3.106012940344921,922675.1475171314,475840.5035034199
446.60000000003305,18402.42711517089,34673.26889792702,-60.07456381179887,-1570.6926141855085,1.5683674887167531,4.914884346184636e-05,4.67416043352648,-3.105792944809727,920039.5588940845,473204.91488037305
446.70000000003307,18396.42150070267,34517.1316418279,-60.056144682203715,-1561.3725609911212,1.5683615432913438,-5.945425409382823e-05,4.6739442455067035,-3.1055827022153597,917426.3128003345,470591.66878662305
446.8000000000331,18390.417750291235,34361.91976616023,-60.03750411432943,-1552.118756676691,1.5683452964603841,-0.0001624683095963127,4.6737272558163445,-3.1053819593559604,914837.6353101002,468002.9912963887
446.9000000000331,18384.415897222072,34207.62614014513,-60.01853069162141,-1542.936260151007,1.5683193334888348,-0.0002596297154938149,4.673509677427079,-3.1051903439382444,912274.6475171314,465440.0035034199
447.00000000003314,18378.415984833067,34054.243757802236,-59.99912389005551,-1533.8238234289076,1.568284236973078,-0.0003509651575667081,4.673291563755229,-3.105007326782151,909736.8599194752,462902.2159057637
447.10000000003316,18372.418064625035,33901.76577900525,-59.97920208033161,-1524.779787969863,1.5682405675671867,-0.0004366940589132954,4.673072945982174,-3.1048323784149874,907223.6843823658,460389.0403686543
447.2000000000332,18366.422194594696,33750.185552628085,-59.95870030339652,-1515.8022637716028,1.5681888486479507,-0.0005171891923604081,4.672853838204065,-3.1046649895561145,904734.4812573658,457899.8372436543
447.3000000000332,18360.428437805567,33599.49662209188,-59.937567891267555,-1506.8893053620388,1.5681295546853675,-0.0005929396258310131,4.672634242954562,-3.104504688269194,902268.6035718189,455433.9595581074
