time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg]
449.7000000000337,26080.493908685286,40290.32865103869,-18.24470701674632,-1642.2674492665587,1.5637732396589805,-0.03219000055601298,4.701279975884598,-3.137506736225617,974168.2584385824,527333.6144248709
449.8000000000337,26078.685274017877,40126.11596046496,-18.086346674106696,-1642.1269057373,1.5603127741564888,-0.0346046550249175,4.701375449501901,-3.1410626753454123,973855.5731906899,527020.9291769784
449.90000000003374,26076.880379789014,39962.01938611292,-18.048942288607552,-1640.9657435203328,1.5568281459155955,-0.03484628240893263,4.701390448225034,-3.1445623023094385,973275.1194321408,526440.4754184294
450.00000000003376,26075.071550907567,39798.21247210364,-18.088288814480375,-1638.0691400928797,1.5534929324753959,-0.0333521344019961,4.701346983912466,-3.1478540514370703,972221.8032419387,525387.1592282272
450.1000000000338,26073.243977181046,39634.83822057968,-18.275737265222165,-1633.742515239575,1.5506036232250406,-0.028893092503553465,4.70120302247892,-3.150599399253879,970773.5348513307,523938.8908376192
450.2000000000338,26071.385033368115,39471.92458047143,-18.58943812931811,-1629.13640108247,1.548393557682519,-0.022100655425216283,4.70097886678952,-3.1525853091070015,969244.7142746566,522410.0702609452
450.30000000003383,26069.484385566117,39309.4579479994,-19.006478019975084,-1624.6663247203317,1.5470397105423626,-0.013538471401564613,4.700690817672969,-3.1536511071306066,967748.9775963506,520914.3335826392
450.40000000003386,26067.53675557311,39147.47091802704,-19.476299930055454,-1619.8702997236326,1.5466472444782389,-0.003924660641237393,4.7003661897282125,-3.153718945249974,966164.204966719,519329.5609530076
450.5000000000339,26065.54094342406,38985.96942009353,-19.95812149047991,-1615.0149793351363,1.5472381043736398,0.0059085989540105625,4.700031754067794,-3.1527936496941544,964565.2534595106,517730.6094457992
450.6000000000339,26063.50057409223,38824.95522503706,-20.403693318298302,-1610.1419505646538,1.5487475059680902,0.015094015944503665,4.699717674429198,-3.1509701684611082,962966.3019523022,516131.6579385908
450.7000000000339,26061.424022322008,38664.431109885096,-20.765517702237904,-1605.2411515196868,1.5510283253338832,0.02280819365792998,4.699453628282333,-3.14842530294845,961367.3504450938,514532.7064313824
450.80000000003395,26059.323785033255,38504.40057207801,-21.002372887521915,-1600.305378070809,1.5538627335476223,0.028344082137390158,4.699265755597695,-3.145403022050073,959768.3989378854,512933.754924174
450.90000000003397,26057.21674952823,38344.86770294496,-21.07035505023967,-1595.3286913304808,1.556960419923212,0.030976863755897855,4.699182216079805,-3.1422217961565932,958169.447430677,511334.8034169656
451.000000000034,26055.115671456806,38185.83647208092,-21.010780714247417,-1590.312308640423,1.5600942764307468,0.03133856507534623,4.699178016568503,-3.139083740137756,956570.4959234686,509735.8519097572
451.100000000034,26053.0307363353,38027.30646278658,-20.849351215080915,-1585.3000929433667,1.5630769948002132,0.02982718369466454,4.699238063815322,-3.1361610690151087,954971.5444162602,508136.9004025488
451.20000000003404,26050.97964357253,37869.27417602514,-20.51092762769847,-1580.3228676144754,1.5656072002337678,0.025302054335546442,4.699410761531597,-3.1338035612978294,953372.5929090518,506537.9488953404
451.30000000003406,26048.97661309335,37711.73752093743,-20.030304791815208,-1575.3665508770514,1.5674435834141935,0.018363831804258164,4.69967497074936,-3.1322313873351666,951773.6414018434,504938.997388132
451.4000000000341,26047.031594256052,37554.69516611052,-19.45018837298498,-1570.4235482690756,1.568418488686115,0.009749052719214078,4.700004299857621,-3.1315858111715063,950174.689894635,503340.0458809236
451.5000000000341,26045.14933971443,37398.1469676245,-18.82254541622475,-1565.4819848601762,1.5684528731645735,0.0003438447845857395,4.700366077115756,-3.131913203951183,948575.7383874266,501741.09437371517
451.60000000003413,26043.32879953119,37242.094161279245,-18.20540183237396,-1560.5280634525568,1.5675654178976133,-0.008874552669603124,4.700723329244414,-3.1331579113468004,946976.7868802182,500142.14286650677
451.70000000003415,26041.563130781295,37086.53932280844,-17.656687498952106,-1555.5483847079836,1.5658713587144872,-0.016940591831259365,4.701038687822885,-3.1351673291083983,945377.8353730098,498543.19135929836
451.8000000000342,26039.840300186985,36931.486073746,-17.22830594308556,-1550.5324906244293,1.563571526507453,-0.022998322070342324,4.701278218693317,-3.137706692185864,943778.8838658014,496944.23985208996
451.9000000000342,26038.142930231097,36776.93898112663,-16.973699558869193,-1545.4709261936393,1.5609522384695473,-0.026192880379056177,4.701406556292575,-3.1404543178230275,942179.932358593,495345.28834488156
452.0000000000342,26036.456814865232,36622.9029591401,-16.861153658646113,-1540.3602198653466,1.5582534452599757,-0.026987932095716836,4.701443176893986,-3.1431897316340103,940580.9808513846,493746.33683767315
452.10000000003424,26034.770791969175,36469.37870331733,-16.860228960562512,-1535.2425582276728,1.5556681080278298,-0.02585337232145841,4.701407294723323,-3.1457391866954927,938982.0293441762,492147.38533046475
452.20000000003427,26033.069151578406,36316.36320259435,-17.016403907697097,-1530.1550072297648,1.5534543563194643,-0.022137517083656424,4.701268732824225,-3.147814376504761,937383.0778369678,490548.43382325635
452.3000000000343,26031.335691406213,36163.85462186121,-17.334601721930806,-1525.0858073314337,1.5518727644212622,-0.015815918982019683,4.701023157430293,-3.1491503930090308,935784.1263297594,488949.48231604794
452.4000000000343,26029.560058682826,36011.851994487115,-17.756327233873556,-1520.0262737409737,1.5510895283553283,-0.007832360659339295,4.700707919383992,-3.149618391028663,934185.174822551,487350.53080883954
452.50000000003433,26027.737997330572,35860.35548013464,-18.220613522528257,-1514.965143524736,1.5511723737958643,0.0008284544053604546,4.700362475923649,-3.149190102127785,932586.2233153426,485751.57930163114
452.60000000003436,26025.871834055113,35709.365396138266,-18.661632754598052,-1509.9008399637394,1.5520834466121016,0.009110728162374305,4.70003010083893,-3.1479466542268284,930990.236767585,484155.59275387356
452.7000000000344,26023.96994677307,35558.864951715055,-19.0188728204272,-1505.0044442321148,1.5536837238052716,0.016002771931699758,4.699752565537015,-3.146068841731743,929444.5072500545,482609.8632363431
452.8000000000344,26022.046998724818,35408.85159532119,-19.22948048252084,-1500.133563938652,1.555740894615611,0.020571708103393548,4.69957117014256,-3.143830275526949,927914.1602066146,481079.5161929032
452.9000000000344,26020.12060851692,35259.33147079421,-19.263902078963444,-1495.20124526976,1.557978873085993,0.022379784703818708,4.6995058742767775,-3.1415270011907843,926381.347201311,479546.70318759955
453.00000000003445,26018.20144774558,35110.30751677085,-19.191607713389843,-1490.2395402335922,1.5602223208106492,0.02243447724656209,4.6995114889903,-3.139289168179651,924847.0518058686,478012.40779215714
453.10000000003447,26016.30179291264,34961.783555683585,-18.996548329423856,-1485.239610872682,1.562273473194164,0.02051152383514921,4.699599453084706,-3.1373259798905417,923300.4122672449,476465.7682535334
453.2000000000345,26014.43861335367,34813.76472786538,-18.631795589720113,-1480.188278182051,1.563869176022931,0.015957028287669622,4.699802195361138,-3.135933019338207,921731.1247779938,474896.4807642823
453.3000000000345,26012.625400392088,34666.261026280285,-18.13212961581199,-1475.0370158510075,1.5648025340405456,0.009333580176144687,4.700096938767176,-3.135294404726631,920132.1732707854,473297.5292570739
453.40000000003454,26010.868495933893,34519.272196901635,-17.56904458193031,-1469.888293786494,1.5649758745033335,0.0017334046278799338,4.700436910246238,-3.135461035742905,918533.221763577,471698.5777498655
453.50000000003456,26009.167116838256,34372.79143073689,-17.01379095635319,-1464.807661647424,1.5644008668482727,-0.005750076550609074,4.7007744685555135,-3.1363736017072408,916954.6138594315,470119.96984572
453.6000000000346,26007.513342149014,34226.794079937754,-16.537746892423403,-1459.9735079913828,1.5631962974383418,-0.012045694099310313,4.701062035386514,-3.1378657379481716,915445.1240192639,468610.48000555247
453.7000000000346,26005.891837798434,34081.273653205404,-16.21504350578912,-1455.2042673235237,1.561592700762809,-0.016035966755327726,4.701246646058814,-3.139653945296005,913962.2304817262,467127.58646801487
453.80000000003463,26004.288210003328,33936.23172719935,-16.036277951055585,-1450.4192600604883,1.5598098119970032,-0.017828887658058307,4.701333125704873,-3.1415233137078697,912488.0849900375,465653.44097632606
453.90000000003465,26002.690544283018,33791.67052780681,-15.976657203101576,-1445.611993925423,1.5580324088137183,-0.01777403183284932,4.701337600872549,-3.1433051920588304,911014.4825725629,464179.8385588514
454.0000000000347,26001.08871529719,33647.59252109112,-16.01828985823971,-1440.7800671568998,1.5564188867653908,-0.01613522048327631,4.701271648676165,-3.1448527619107747,909534.0842917204,462699.440278009
454.1000000000347,25999.471185386832,33504.00115637566,-16.17529910359931,-1435.913647154603,1.5551455852925349,-0.012733014728557732,4.701124643567461,-3.145979058274926,908039.8594775579,461205.2154638465
454.2000000000347,25997.82357134155,33360.9019117132,-16.476140452849208,-1430.9924466246707,1.5544255998443703,-0.007199854481646203,4.700875703369144,-3.146450103524774,906525.8635189647,459691.2195052533
454.30000000003474,25996.14002106756,33218.303982361824,-16.8355027398907,-1425.97929351376,1.5543473497251137,-0.0007825011925665934,4.700583254552002,-3.146235904826888,904988.5737796534,458153.92976594204
454.40000000003477,25994.422501198533,33076.21739172817,-17.175198690278975,-1420.865906336527,1.554884201037637,0.005368513125232287,4.700301729811604,-3.145417528773967,903429.1204846794,456594.47647096805
454.5000000000348,25992.680737743023,32934.63862888986,-17.41763455510794,-1415.7876283831222,1.5558931924762665,0.010089914386295699,4.700087166492068,-3.144193974015802,901885.4312132974,455050.7871995861
454.6000000000348,25990.92811891691,32793.545321558435,-17.526188261133285,-1410.9330733141933,1.5571736236966958,0.012804312204293749,4.6999679185684595,-3.1427942948717638,900408.8638363719,453574.2198226606
454.70000000003483,25989.174044176325,32652.92717555139,-17.540747405831155,-1406.1814600704304,1.558582189087549,0.01408565390853313,4.699915598960862,-3.141333409873313,898965.9382138243,452131.29420011304
454.80000000003486,25987.4283391793,32512.77940703298,-17.457049970252573,-1401.4776851841164,1.5599708959645628,0.01388706877013816,4.699933450495129,-3.139962554530566,897537.587710564,450702.9436968527
454.9000000000349,25985.701788353836,32373.100779545126,-17.26550825465232,-1396.7862748785374,1.5611803206668307,0.012094247022678145,4.700028729353046,-3.1388484086862154,896111.4388885783,449276.79487486696
455.0000000000349,25984.002846373733,32233.892148116265,-16.989419801026372,-1392.0863142886114,1.562085706045349,0.0090538537851831,4.700185300046838,-3.1380995940014893,894679.389532109,447844.74551839766
455.1000000000349,25982.34125977403,32095.156322753082,-16.615865997019256,-1387.35825363182,1.5625479430423737,0.004622369970246071,4.700412930532531,-3.1378649874901576,893235.7886950527,446401.14468134136
455.20000000003495,25980.721343069315,31956.898962897263,-16.1991670471631,-1382.573598558199,1.5625066106405923,-0.0004133240178137206,4.700672840391471,-3.1381662297508788,891777.4952906235,444942.8512769122
455.30000000003497,25979.138684431546,31819.127919407554,-15.82658637768954,-1377.7104348970945,1.5620245083306603,-0.004821023099318912,4.700901885675214,-3.1388773773445537,890304.7001383655,443470.05612465425
455.400000000035,25977.584770788544,31681.85126640429,-15.53913643001714,-1372.7665300326585,1.5612232046335988,-0.00801303697061441,4.701069886824384,-3.139846682190785,888820.1920703945,441985.54805668327
455.500000000035,25976.052031954045,31545.075637091293,-15.327388345009425,-1367.7562931299553,1.560213245853944,-0.01009958779654899,4.701183221823593,-3.1409699759696488,887327.0240202423,440492.38000653096
455.60000000003504,25974.53102629843,31408.806635623736,-15.21005655613779,-1362.6900146755663,1.55913135418334,-0.01081891670604014,4.701227656247357,-3.142096302064017,885826.6931598431,438992.0491461318
455.70000000003506,25973.012670538068,31273.037299544787,-15.183557603648275,-1357.6933607894919,1.5581073115087707,-0.010240426745692519,4.701206098372524,-3.143098786863754,884345.5316008244,437510.88758711313
