time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg]
0.1,-8.64715792655148e-05,1.5456082293642497,-0.000864715792655148,0.45608229364249714,1.5707950657455825,-1.2610493140648593e-05,1.5726922889240675,-0.0018972231784850635,6298199.587457184,3373274.01777173
0.2,-0.0002614259959071263,1.6368848853135234,-0.0017495441664161148,0.9127665594927377,1.5707925120060346,-2.5537395479143042e-05,1.5727130732024643,-0.0019205611964296931,6295561.338433746,3370635.7687482927
0.30000000000000004,-0.0005248874883057608,1.773890291773989,-0.002634614923986345,1.370054064604655,1.5707886602032843,-3.851802750217587e-05,1.572719325123588,-0.001930664920303693,6292923.089166168,3367997.5194807146
0.4,-0.0008766843333898989,1.9566848359783315,-0.003517968450841381,1.827945442043427,1.5707835050980659,-5.155105218546714e-05,1.5727208722581,-0.0019373671600342313,6290284.840142731,3365359.270457277
0.5,-0.0013164543877599417,2.185329006682434,-0.0043977005437004285,2.286441707041025,1.570777041489442,-6.463608623854961e-05,1.5727197063007996,-0.0019426648113576306,6287646.591119293,3362721.0214338396
0.6,-0.001843645829598587,2.4598833815695214,-0.005271914418386452,2.7455437488708734,1.5707692641897661,-7.777299675729782e-05,1.5727164957746422,-0.0019472315848760857,6285008.342095856,3360082.772410402
0.7,-0.0024575169633420106,2.7804086273562905,-0.006138711337434236,3.20525245786769,1.5707601680130214,-9.096176744753209e-05,1.572711528144099,-0.0019513601310776618,6282370.093072418,3357444.5233869646
0.7999999999999999,-0.003157135402255063,3.146965499899231,-0.0069961843891305255,3.6655687254294076,1.5707497477723837,-0.00010420240637722163,1.5727049462801332,-0.0019551985077495004,6279731.844048981,3354806.274363527
0.8999999999999999,-0.003941377374052905,3.5596148443011404,-0.007842419717978421,4.1264934440190935,1.5707379982758836,-0.00011749496500251427,1.5726968290935994,-0.001958830817715862,6277093.595025543,3352168.0253400896
0.9999999999999999,-0.0048089267079930885,4.018417582273074,-0.008675493339401832,4.58802737971933,1.5707249143268627,-0.00013083949020873688,1.5726872228776099,-0.001962308550747194,6274455.346246246,3349529.7765607927
1.0999999999999999,-0.005758273926108897,4.523434763219993,-0.009493472181158088,5.050171809469191,1.5707104907225302,-0.00014423604332376892,1.5726761561070024,-0.0019656653844721816,6271817.097222809,3346891.527537355
1.2,-0.0067877152955659196,5.074727500629949,-0.010294413694570221,5.512927374099566,1.5706947222533325,-0.00015768469197646433,1.5726636471912772,-0.0019689249379446494,6269178.848199371,3344253.2785139177
1.3,-0.007895351817117367,5.672356997665255,-0.011076365215514474,5.9762949703530595,1.5706776037031378,-0.00017118550194749875,1.5726497079596384,-0.0019721042565006286,6266540.599175934,3341615.02949048
1.4000000000000001,-0.009079069056316794,6.316384560036155,-0.01183717239199427,6.4402756237089935,1.5706591301277344,-0.00018473575403329365,1.5726343163087224,-0.00197518618098802,6263902.350152496,3338976.7804670427
1.5000000000000002,-0.010336521193808524,7.006871570581566,-0.01257452137491731,6.904870105454115,1.57063929707234,-0.00019833055394515,1.5726174338225491,-0.0019781367502091918,6261264.101373199,3336338.531687746
1.6000000000000003,-0.01166516298111435,7.743879502132454,-0.013286417873058252,7.370079315508869,1.5706181000939687,-0.00021196978371283581,1.5725990758442727,-0.0019809757503039815,6258625.8525939025,3333700.282908449
