time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg]
356.2000000000125,11488.733543047114,47510.860936424324,-149.5356411963448,-1193.118158475164,1.3960651812479428,-0.0017816243269494652,4.58770730811143,-3.1916421268634867,1559904.8912367169,1184078.1183888016
356.3000000000125,11473.872389906135,47391.960638625555,-148.6115314097861,-1189.0029779876606,1.395901134750184,-0.0016404649775884957,4.58804544747635,-3.1921443127261666,1557666.5843519513,1181839.811504036
356.40000000001254,11459.10460589866,47273.472417574485,-147.67784007476214,-1184.8822105106824,1.3957552008404686,-0.0014593390971537699,4.588393348547642,-3.1926381477071737,1555428.3482679669,1179601.5754200516
356.50000000001256,11444.43153714631,47155.39678281417,-146.73068752347953,-1180.7563476031726,1.3956334713493288,-0.0012172949113985387,4.588754407359313,-3.1931209360099846,1553190.0892347638,1177363.3163868485
356.6000000000126,11429.854645534411,47037.73421909691,-145.76891611900027,-1176.6256371726372,1.3955427070349624,-0.0009076431436648761,4.589129764858707,-3.1935870578237444,1550951.8165296856,1175125.0436817703
356.7000000000126,11415.375309460875,46920.48521944522,-144.79336073537513,-1172.489996516865,1.3954892916438637,-0.000534153910987495,4.58951887044757,-3.1940295788037063,1548713.5570082013,1172886.784160286
356.80000000001263,11400.994778582495,46803.65029437888,-143.8053087838013,-1168.3492506633743,1.3954790090857498,-0.00010282558113781036,4.589920774917429,-3.1944417658316793,1546475.3385023419,1170648.5656544266
356.90000000001265,11386.714175164438,46687.22997457,-142.80603418058251,-1164.203198088794,1.3955170668565209,0.0003805777077113264,4.59033452447044,-3.1948174576139188,1544237.179566795,1168410.4067188797
357.0000000000127,11372.534501741236,46571.224813374814,-141.79673423201504,-1160.0516119518834,1.395608150481655,0.0009108362513412456,4.590759214370944,-3.1951510638892895,1541999.0850843731,1166172.3122364578
357.1000000000127,11358.456648176547,46455.6353871972,-140.77853564688817,-1155.8942617761109,1.3957564751888965,0.0014832470724132183,4.591193986982624,-3.1954375117937275,1539761.0555433575,1163934.2826954422
357.2000000000127,11344.481397933616,46340.46229490843,-139.75250242931034,-1151.7309228877066,1.3959658328855153,0.0020935769661892677,4.591638026838978,-3.1956721939534622,1537523.0904554669,1161696.3176075516
