Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average
0,-0.7046166037497557,16719.140035022152,-0.7046166037497557,17496.7367033597,2673.604589177995,15941.543366684606
1,-195.7404755651529,14509.761404838915,-195.7404755651529,15424.277513235824,2041.4310956997954,13595.245296442
2,-195.7404755651529,12042.78047940446,-195.7404755651529,11816.453927131017,-46.310818664182804,12269.107031677906
3,-195.7404755651529,12603.190754657175,-195.7404755651529,12625.271335837566,-164.8978555266055,12581.110173476784
4,-195.7404755651529,11559.81492739729,-195.7404755651529,10837.207422165984,-164.8978555266055,12282.422432628595
5,-536.7971179255352,11275.451768348767,-195.7404755651529,8825.463819922104,-536.7971179255352,13725.439716775427
6,-649.8686557979053,12824.361800544342,-649.8686557979053,10025.113981648117,-536.7971179255352,15623.609619440564
7,-649.8686557979053,11141.586326215258,-649.8686557979053,11412.926120800288,-536.7971179255352,10870.24653163023
8,-649.8686557979053,10671.419618580609,-649.8686557979053,11620.558506932804,-536.7971179255352,9722.28073022841
9,-649.8686557979053,11313.758968605222,-649.8686557979053,11512.518536329791,-536.7971179255352,11114.999400880653
10,-649.8686557979053,11560.293914461468,-649.8686557979053,10751.516209767266,-536.7971179255352,12369.071619155666
