time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg]
405.43000000002365,109803.38718495445,45476.01795616627,-20.00444972062176,-1482.1006804021736,1.5573795882129309,-0.0009686598474894869,4.698892437725723,-3.141512849512792,990876.193703335,646594.8246530055
405.4600000000236,109802.78743169973,45431.587144017925,-19.991775157149238,-1481.027071611652,1.5572945186648668,-0.0028356516021372457,4.698891211554765,-3.1415966928898986,990500.4700094874,646219.1009591578
405.4900000000236,109802.1879657464,45387.18144784531,-19.98219844431813,-1480.1898724204884,1.5571340216087382,-0.005349901870956566,4.698890046852513,-3.141756025243775,990189.9517599756,645908.5827096461
405.5200000000236,109801.58866805233,45342.78336435699,-19.97658980251892,-1479.9361162773932,1.556961301061362,-0.005757351579199146,4.698891521645018,-3.1419302205836566,990040.0483633692,645758.6793130396
405.55000000002354,109800.98950833289,45298.388576268146,-19.971990647840062,-1479.826269628093,1.5568095432540676,-0.005058593576479212,4.698893627193794,-3.142084083939726,989929.751755398,645648.3827050684
405.5800000000235,109800.39061140429,45254.00448713945,-19.96323095336013,-1479.4696376232816,1.5567061463486362,-0.0034465635143767865,4.69889629423659,-3.1421901478879537,989751.5771948511,645470.2081445216
405.6100000000235,109799.79213409897,45209.642541278314,-19.949243510680652,-1478.7315287045676,1.556661468564897,-0.001489259457976034,4.698899017539058,-3.142237548974161,989468.5163428003,645187.1472924708
405.64000000002346,109799.1941351166,45165.31191652302,-19.93329941240593,-1477.6874918433382,1.556655970773619,-0.00018325970926804974,4.698900275509457,-3.142244304735838,989101.4285132105,644820.059462881
405.67000000002344,109798.59654834162,45121.01418988789,-19.91955916593624,-1476.5908878377402,1.556659509999039,0.00011797418067253002,4.698899562903808,-3.1422400529047687,988720.0359350855,644438.666884756
405.7000000000234,109797.99928924744,45076.749470499344,-19.908636472529963,-1475.490646284733,1.5566415828269746,-0.0005975724021490133,4.698896906762845,-3.14225532393587,988337.7959753687,644056.4269250392
405.7300000000234,109797.40227669071,45032.51743534423,-19.900418557497385,-1474.4011718372935,1.5565771419235548,-0.002148030113994735,4.698892511035123,-3.142315369111569,987958.6634985621,643677.2944482325
405.76000000002335,109796.80542851026,44988.31437641299,-19.894939348564538,-1473.4352977076926,1.5564637481063583,-0.0037797939065487263,4.698887382817977,-3.1424236347116192,987613.6063086207,643332.2372582911
405.7900000000233,109796.20871135595,44944.13202409501,-19.89057181016996,-1472.7450772660488,1.5563442571896497,-0.003983030556952778,4.698884020930219,-3.142539763740569,987344.3084265406,643062.939376211
405.8200000000233,109795.61214709662,44899.97005994163,-19.885475311270184,-1472.0654717793186,1.5562410561069289,-0.003440036090696359,4.698881248391144,-3.1426401922842153,987077.991989773,642796.6229394434
405.8500000000233,109795.01573945287,44855.8300828808,-19.880254791869017,-1471.3325686944797,1.556159045127046,-0.0027336993294338856,4.698878068221514,-3.142719023094468,986797.1276709253,642515.7586205958
