Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average
0,-19.554013686656333,13521.257634219475,-19.554013686656333,14169.991557260013,2209.5704301412325,12872.523711178936
1,-133.53376453760916,12345.294755852427,-133.53376453760916,13584.63393340479,66.66899544326532,11105.955578300065
2,-171.40430734021123,10588.362904175592,-171.40430734021123,11139.334109632171,3.2513612942007057,10037.391698719011
3,-179.97901755130334,9829.50937062748,-179.97901755130334,8900.284887095419,-64.4276617612066,10758.733854159542
4,-264801.17923975573,6298.9595960818615,-264801.17923975573,2854.0277701450077,-64.4276617612066,9743.891422018713
5,-264801.17923975573,8773.337938992152,-264801.17923975573,8630.952248683283,-64.4276617612066,8915.72362930102
6,-264801.17923975573,8692.480463881186,-264801.17923975573,8406.276546574241,-124.56148540889241,8978.684381188126
7,-264801.17923975573,9810.976663237449,-264801.17923975573,8449.001841756512,-167.46066109070333,11172.951484718385
8,-264801.17923975573,11472.653518572992,-264801.17923975573,8979.226508666723,-185.59817538387335,13966.080528479257
9,-264801.17923975573,10475.304171773856,-264801.17923975573,7316.645964603491,-185.59817538387335,13633.962378944223
10,-264801.17923975573,9049.029086969389,-264801.17923975573,5369.675300419932,-185.76851396308425,12728.382873518844
11,-264801.17923975573,8684.621989933321,-264801.17923975573,7831.235859538064,-185.76851396308425,9538.008120328575
12,-264801.17923975573,8546.499594778821,-264801.17923975573,7464.667488352883,-185.76851396308425,9628.331701204757
13,-264801.17923975573,9270.69699389179,-264801.17923975573,6472.800328904099,-185.76851396308425,12068.593658879485
14,-264801.17923975573,7396.611292736901,-264801.17923975573,3285.4963030708086,-185.76851396308425,11507.726282402995
15,-264801.17923975573,8177.027368850433,-264801.17923975573,6713.538289381312,-185.76851396308425,9640.516448319555
16,-264801.17923975573,5533.519872011645,-264801.17923975573,2814.7968672696484,-188.35365393203102,8252.242876753642
17,-269271.4886803685,5826.2729583541595,-269271.4886803685,2304.538314038044,-188.35365393203102,9348.007602670277
18,-344589.9906449376,5241.174387153045,-269271.4886803685,6541.844326582705,-344589.9906449376,3940.5044477233882
19,-344589.9906449376,6011.893710384101,-269271.4886803685,2288.4380722914043,-344589.9906449376,9735.349348476799
20,-344589.9906449376,7299.147726497323,-269271.4886803685,6043.278440842217,-344589.9906449376,8555.017012152428
21,-344589.9906449376,6167.885634579969,-269271.4886803685,5648.34890735801,-344589.9906449376,6687.422361801926
22,-344589.9906449376,1461.1042474979786,-269271.4886803685,4955.958094996773,-344589.9906449376,-2033.749600000815
23,-344589.9906449376,6235.683826020958,-269271.4886803685,5337.673335374347,-344589.9906449376,7133.694316667568
24,-344589.9906449376,1807.331983889849,-269271.4886803685,5111.83719390383,-344589.9906449376,-1497.173226124132
25,-344589.9906449376,2612.1893312193424,-280533.6280655919,961.4537763983541,-344589.9906449376,4262.924886040331
26,-344589.9906449376,5901.586907123789,-280533.6280655919,4834.288875212051,-344589.9906449376,6968.88493903553
27,-344589.9906449376,5057.698997255718,-280533.6280655919,4589.769042739932,-344589.9906449376,5525.628951771503
28,-344589.9906449376,3254.2113677741004,-280533.6280655919,4754.269535397587,-344589.9906449376,1754.1532001506146
29,-344589.9906449376,5401.788945756851,-280533.6280655919,4343.3551155044,-344589.9906449376,6460.222776009303
30,-344589.9906449376,578.3428039419381,-291693.00511026965,-269.0979561859728,-344589.9906449376,1425.783564069849
31,-344589.9906449376,3174.9318685468224,-291693.00511026965,-220.11763340750787,-344589.9906449376,6569.981370501151
32,-344589.9906449376,270.9711482541215,-302756.816862589,61.651202817353465,-344589.9906449376,480.2910936908896
33,-344589.9906449376,1762.1615751847962,-302756.816862589,4232.547398338938,-344589.9906449376,-708.2242479693475
34,-354616.3384995519,-285.46462681390346,-354616.3384995519,-5430.569071458627,-344589.9906449376,4859.639817830818
35,-354616.3384995519,2472.3448254462014,-354616.3384995519,1194.6146204123854,-344589.9906449376,3750.075030480018
36,-354616.3384995519,3615.2545380831734,-354616.3384995519,7484.710752837155,-344589.9906449376,-254.20167667080756
37,-354616.3384995519,1963.8318079806763,-354616.3384995519,574.1741470842496,-344589.9906449376,3353.489468877102
38,-354616.3384995519,3615.3543036899405,-354616.3384995519,3341.3164476907937,-344589.9906449376,3889.392159689088
39,-354616.3384995519,1656.8014703870438,-354616.3384995519,16.11196003354786,-344589.9906449376,3297.4909807405397
40,-354616.3384995519,3362.7318059752943,-354616.3384995519,3418.126844907549,-344589.9906449376,3307.33676704304
41,-354616.3384995519,1895.0778270188691,-354616.3384995519,4789.537804461991,-344589.9906449376,-999.3821504242537
42,-354616.3384995519,2617.7765373551347,-354616.3384995519,1394.7759017816868,-344589.9906449376,3840.777172928583
43,-354616.3384995519,4440.139652724021,-354616.3384995519,5286.397705200959,-344589.9906449376,3593.8816002470835
44,-354616.3384995519,3836.705505280536,-354616.3384995519,4120.1116413323425,-344589.9906449376,3553.299369228729
45,-354616.3384995519,2716.3571733839585,-354616.3384995519,2528.194910855499,-344589.9906449376,2904.519435912418
