generation,global_best_fitness,global_avg_fitness
0,-19.554013686656333,13521.257634219475
1,-133.53376453760916,12345.294755852427
2,-171.40430734021123,10588.362904175592
3,-179.97901755130334,9829.50937062748
4,-264801.17923975573,6298.9595960818615
5,-264801.17923975573,8773.337938992152
6,-264801.17923975573,8692.480463881186
7,-264801.17923975573,9810.976663237449
8,-264801.17923975573,11472.653518572992
9,-264801.17923975573,10475.304171773856
10,-264801.17923975573,9049.029086969389
11,-264801.17923975573,8684.621989933321
12,-264801.17923975573,8546.499594778821
13,-264801.17923975573,9270.69699389179
14,-264801.17923975573,7396.611292736901
15,-264801.17923975573,8177.027368850433
16,-264801.17923975573,5533.519872011645
17,-269271.4886803685,5826.2729583541595
18,-344589.9906449376,5241.174387153045
19,-344589.9906449376,6011.893710384101
20,-344589.9906449376,7299.147726497323
21,-344589.9906449376,6167.885634579969
22,-344589.9906449376,1461.1042474979786
23,-344589.9906449376,6235.683826020958
24,-344589.9906449376,1807.331983889849
25,-344589.9906449376,2612.1893312193424
26,-344589.9906449376,5901.586907123789
27,-344589.9906449376,5057.698997255718
28,-344589.9906449376,3254.2113677741004
29,-344589.9906449376,5401.788945756851
30,-344589.9906449376,578.3428039419381
31,-344589.9906449376,3174.9318685468224
32,-344589.9906449376,270.9711482541215
33,-344589.9906449376,1762.1615751847962
34,-354616.3384995519,-285.46462681390346
35,-354616.3384995519,2472.3448254462014
36,-354616.3384995519,3615.2545380831734
37,-354616.3384995519,1963.8318079806763
38,-354616.3384995519,3615.3543036899405
39,-354616.3384995519,1656.8014703870438
40,-354616.3384995519,3362.7318059752943
41,-354616.3384995519,1895.0778270188691
42,-354616.3384995519,2617.7765373551347
43,-354616.3384995519,4440.139652724021
44,-354616.3384995519,3836.705505280536
45,-354616.3384995519,2716.3571733839585
46,-354616.3384995519,3043.8310021626253
47,-354616.3384995519,-1197.9791439945582
