Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average,Subswarm_3_Best,Subswarm_3_Average,Subswarm_4_Best,Subswarm_4_Average,Subswarm_5_Best,Subswarm_5_Average
0,125.02298669646484,13963.720967587084,125.02298669646484,13890.765625419404,3314.891819703258,13723.010425623615,5981.370477627743,14800.779181551712,4466.738369511788,13430.490782941528,1375.2211522881762,13973.558822399164
1,-88.134484206007,13893.39994971128,-88.134484206007,13800.59448138055,3314.891819703258,15323.443813325219,-2.1380078684667296,10069.100272108031,3886.0491911551217,15060.078491451524,54.17523465197618,15213.782690291071
2,-185.10370829277005,8969.336683034093,-185.10370829277005,6273.4061487985655,-117.51730913590049,8039.313572340195,-55.540457414796805,6867.108961800429,3886.0491911551217,12961.994341220696,54.17523465197618,10704.86039101058
3,-195.5958535556133,8093.50053870775,-195.5958535556133,5688.829086709324,-128.45415513898246,8617.393950840387,-160.5107109298097,5975.918228548587,3691.693455569668,12188.802619453721,26.245016251340303,7996.558807986722
4,-195.5958535556133,7109.551822931286,-195.5958535556133,5132.537580482575,-128.45415513898246,6350.799726454276,-160.5107109298097,5992.246622816041,-24.000862862877653,10549.672370321476,-82.13239908261272,7522.502814582063
5,-195.5958535556133,6533.314907075769,-195.5958535556133,4012.177985690648,-171.15348160969577,5362.162981466535,-160.5107109298097,5884.855127337223,-104.5078949897967,9967.40741550418,-188.6716972521612,7439.971025380253
6,-195.5958535556133,7078.880572798191,-195.5958535556133,5067.177095141733,-171.67927240512586,4446.249331172098,-160.5107109298097,6291.672997931881,-104.5078949897967,11342.487695043406,-188.6716972521612,8121.309532703805
7,-195.5958535556133,6794.461542686134,-195.5958535556133,4580.13709946715,-171.67927240512586,5138.313467570321,-174.25286385267447,5910.106344848455,-112.55886974134845,10277.007917732892,-188.6716972521612,7952.805467446529
8,-195.5958535556133,6920.597336236091,-195.5958535556133,5810.329750483121,-171.67927240512586,5958.490146713256,-174.25286385267447,5593.673146109828,-112.55886974134845,9723.854788945348,-188.6716972521612,7438.368348159664
9,-195.5958535556133,5528.1347458771,-195.5958535556133,3738.727902571678,-175.35625916166015,5299.1211580858035,-174.25286385267447,5277.544177103995,-147.99280339303976,7077.4210437023485,-188.6716972521612,6181.085585099062
10,-195.5958535556133,5305.184921193088,-195.5958535556133,3481.6961364877334,-175.35625916166015,5044.740953350135,-174.25286385267447,5229.549217074866,-175.99947563944204,6530.363683805091,-188.6716972521612,6178.601264301265
11,-195.5958535556133,5588.2836625083255,-195.5958535556133,3460.3976223330505,-175.35625916166015,4479.577799367393,-174.25286385267447,4061.1106352471234,-175.99947563944204,9359.095450352917,-188.6716972521612,6503.746217034083
12,-195.5958535556133,7110.320639644635,-195.5958535556133,3949.3269087533654,-175.35625916166015,4858.849419861,-174.25286385267447,4627.009424132537,-175.99947563944204,12786.035152976157,-188.6716972521612,9241.29708083514
13,-195.5958535556133,6981.971052760979,-195.5958535556133,3096.8826189434944,-176.34160408042504,4606.291660765208,-189.09829183601815,4454.883132424609,-175.99947563944204,13391.268834216711,-188.6716972521612,9247.464755034795
14,-196.05146146190748,7074.9563248114255,-196.05146146190748,4538.636083450526,-176.34160408042504,4692.8490989512975,-193.4529664145978,4655.975880184848,-175.99947563944204,13005.349742723827,-188.6716972521612,8386.509758757275
15,-196.05146146190748,6400.700343127007,-196.05146146190748,4295.682840639444,-176.34160408042504,4445.614302661638,-193.4529664145978,4815.255770918013,-175.99947563944204,10950.056064766708,-188.6716972521612,7423.360189911684
