generation,global_best_fitness,global_avg_fitness
0,125.02298669646484,13963.720967587084
1,-88.134484206007,13893.39994971128
2,-185.10370829277005,8969.336683034093
3,-195.5958535556133,8093.50053870775
4,-195.5958535556133,7109.551822931286
5,-195.5958535556133,6533.314907075769
6,-195.5958535556133,7078.880572798191
7,-195.5958535556133,6794.461542686134
8,-195.5958535556133,6920.597336236091
9,-195.5958535556133,5528.1347458771
10,-195.5958535556133,5305.184921193088
11,-195.5958535556133,5588.2836625083255
12,-195.5958535556133,7110.320639644635
13,-195.5958535556133,6981.971052760979
14,-196.05146146190748,7074.9563248114255
15,-196.05146146190748,6400.700343127007
16,-196.05146146190748,5793.269171630326
17,-196.05146146190748,5786.93973718222
18,-196.05146146190748,6426.88284188432
19,-196.05146146190748,6154.931706531256
