Generation,Global_Best_Fitness,Average_Fitness,Subswarm_1_Best,Subswarm_1_Average,Subswarm_2_Best,Subswarm_2_Average
0,6392.182221494275,11828.115031048332,6464.9486417451335,11810.192964089392,6392.182221494275,11846.037098007268
1,-144.73802190841434,8571.349041150552,-144.73802190841434,7474.9453721634,5.088868827971567,9667.752710137704
2,-165.38062820446854,10187.785314617375,-165.38062820446854,8271.659324668764,5.088868827971567,12103.911304565985
3,-176.13641381133093,10029.68525215559,-176.13641381133093,7820.219705622628,-156.18950606983776,12239.150798688555
4,-176.13641381133093,10383.119729728476,-176.13641381133093,9665.513073907921,-156.18950606983776,11100.726385549027
5,-176.13641381133093,9447.808369955994,-176.13641381133093,8206.752682394075,-156.18950606983776,10688.864057517912
6,-183.12680148109152,9988.810260027556,-183.12680148109152,9089.888073719163,-156.18950606983776,10887.73244633595
7,-183.12680148109152,10230.863906475886,-183.12680148109152,7961.010519559461,-156.18950606983776,12500.717293392314
8,-187.2503410575077,10767.0099300909,-187.2503410575077,8504.17821694606,-156.18950606983776,13029.841643235737
9,-187.2503410575077,10115.874854679487,-187.2503410575077,9957.483221511318,-183.5731402175795,10274.266487847653
10,-187.9193852552286,8609.256329054631,-187.2503410575077,8567.047224619106,-187.9193852552286,8651.465433490155
11,-187.9193852552286,8304.431434887103,-187.2503410575077,8084.35535542049,-187.9193852552286,8524.507514353716
12,-187.9193852552286,8619.766096727471,-187.2503410575077,7657.966822654849,-187.9193852552286,9581.565370800094
13,-187.9193852552286,8348.20009538176,-187.2503410575077,9115.896403001472,-187.9193852552286,7580.50378776205
14,-187.9193852552286,7674.250345078347,-187.2503410575077,7638.687637802717,-187.9193852552286,7709.813052353978
15,-187.9193852552286,8155.775924156917,-187.2503410575077,7555.471174365256,-187.9193852552286,8756.080673948576
16,-187.9193852552286,8147.146876138646,-187.2503410575077,8452.46163106767,-187.9193852552286,7841.832121209623
17,-190.383526574389,8693.99847529736,-187.2503410575077,9841.186187988653,-190.383526574389,7546.810762606067
18,-191.04180694644302,8372.643193940241,-188.10261094815516,6716.904292271622,-191.04180694644302,10028.382095608857
19,-191.04180694644302,9271.437106440288,-188.10261094815516,8212.735366490671,-191.04180694644302,10330.1388463899
20,-191.04180694644302,9047.51700218426,-188.10261094815516,8867.072572590798,-191.04180694644302,9227.96143177772
21,-191.04180694644302,8302.270674786758,-188.10261094815516,8065.85144980695,-191.04180694644302,8538.689899766561
22,-191.56186126309325,9111.598206099967,-188.10261094815516,8645.36447417005,-191.56186126309325,9577.831938029884
23,-191.56186126309325,8879.986796164214,-188.10261094815516,8640.290785219002,-191.56186126309325,9119.682807109426
24,-191.56186126309325,7593.115505378493,-188.10261094815516,8081.733962784567,-191.56186126309325,7104.497047972422
25,-191.56186126309325,9157.439207057982,-188.10261094815516,8882.411143995765,-191.56186126309325,9432.467270120194
26,-191.56186126309325,9661.35971616908,-188.10261094815516,8615.335254849098,-191.56186126309325,10707.38417748906
27,-193.43547315149715,8156.054307463991,-188.10261094815516,8930.707731149107,-193.43547315149715,7381.400883778876
28,-193.43547315149715,7764.700119683534,-188.10261094815516,7840.96869443363,-193.43547315149715,7688.431544933436
29,-193.43547315149715,6515.37600985747,-188.10261094815516,6824.997799322168,-193.43547315149715,6205.754220392772
30,-193.43547315149715,7503.828401917093,-188.10261094815516,8418.72903257815,-193.43547315149715,6588.92777125604
31,-193.43547315149715,5903.466974361692,-188.10261094815516,6637.725851894531,-193.43547315149715,5169.208096828856
32,-193.43547315149715,6326.666630712536,-188.10261094815516,5864.187138667525,-193.43547315149715,6789.146122757548
33,-193.43547315149715,5985.188858027841,-188.10261094815516,6216.142274973035,-193.43547315149715,5754.235441082648
34,-193.43547315149715,6843.1792403598,-188.10261094815516,8743.240643813877,-193.43547315149715,4943.117836905727
35,-193.43547315149715,8690.215518816975,-188.10261094815516,10802.859128721851,-193.43547315149715,6577.571908912098
36,-193.43547315149715,8692.216885992599,-188.10261094815516,9113.359206844665,-193.43547315149715,8271.074565140532
37,-193.43547315149715,7887.731066474866,-188.10261094815516,8673.004884950888,-193.43547315149715,7102.457247998844
38,-193.43547315149715,6784.595889937211,-188.10261094815516,7627.144908523495,-193.43547315149715,5942.046871350925
39,-196.12898030781722,6725.980000461505,-188.10261094815516,8669.783520364022,-196.12898030781722,4782.176480558986
40,-196.12898030781722,7347.183399139707,-188.10261094815516,9042.099254038412,-196.12898030781722,5652.267544241001
41,-196.12898030781722,5615.264190612131,-188.10261094815516,6606.44911590652,-196.12898030781722,4624.079265317743
42,-196.12898030781722,8875.807110856455,-188.10261094815516,11217.730908759548,-196.12898030781722,6533.88331295336
43,-196.12898030781722,7940.633407890065,-188.10261094815516,10915.426784496598,-196.12898030781722,4965.8400312835365
44,-196.12898030781722,6271.01003216787,-188.10261094815516,9056.34962590633,-196.12898030781722,3485.6704384294057
45,-196.12898030781722,6255.701884710789,-188.10261094815516,9659.867046379046,-196.12898030781722,2851.5367230425345
46,-196.12898030781722,6044.819637573798,-188.10261094815516,9436.51977169343,-196.12898030781722,2653.119503454164
47,-196.12898030781722,7354.066842672961,-188.10261094815516,9438.017807454939,-196.12898030781722,5270.115877890985
48,-196.12898030781722,6692.840782961317,-188.10261094815516,10925.896207806669,-196.12898030781722,2459.785358115966
49,-196.12898030781722,7669.199875593869,-188.10261094815516,11186.880884145774,-196.12898030781722,4151.518867041964
50,-196.12898030781722,6909.877000324018,-189.68478509931484,10169.027013214827,-196.12898030781722,3650.726987433211
51,-196.12898030781722,6170.18723741511,-189.68478509931484,7743.787915333586,-196.12898030781722,4596.586559496634
52,-196.12898030781722,6435.822567989314,-189.68478509931484,9248.118418723454,-196.12898030781722,3623.5267172551735
