time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],gamma[rad],alpha[rad],mass[kg],mass_propellant[kg]
296.0499999999894,31500.40317628755,29784.51419613278,-52.04306297762668,-1030.5098247788858,1.5202631147503278,0.0005498740134753878,4.6619296015104466,-3.1416664867601187,1627957.1096456759,1283675.7405953465
296.1499999999893,31495.207487742646,29681.567674175556,-51.90516791866051,-1028.838199468526,1.5203178636163353,0.0005142731446266941,4.661981444768601,-3.141663581152266,1626765.7071798556,1282484.3381295262
296.2499999999892,31490.025588506804,29578.788436415387,-51.76730265252336,-1027.1646254688417,1.5203664056480743,0.0005023949414768897,4.662033332737968,-3.1416669270898936,1625574.356960129,1281292.9879097997
296.3499999999891,31484.857471246716,29476.176678239863,-51.62948528387089,-1025.4890972797427,1.5204218794347009,0.0005585487614003943,4.662085248052987,-3.1416633686182864,1624383.059078049,1280101.6900277196
296.449999999989,31479.703138977984,29373.732594939465,-51.49163280575885,-1023.8116147120795,1.5204716840923815,0.0004759896531826529,4.662137272006564,-3.141665587914183,1623191.813564133,1278910.4445138036
296.5499999999889,31474.562585933672,29271.45638270738,-51.353871785558766,-1022.1321667707815,1.52052482783554,0.0005667132705805417,4.662189281377965,-3.141664453542425,1622000.6204488985,1277719.2513985692
296.64999999998884,31469.435811407802,29169.348237940194,-51.21606432589668,-1020.450755951234,1.5205777612309703,0.000489606895678511,4.662241411310508,-3.141663650079538,1620809.479793381,1276528.1107430516
296.74999999998875,31464.322814160143,29067.408357523705,-51.07833105579479,-1018.767371246583,1.5206281192753641,0.0005405713253479671,4.662293544052449,-3.141665424777085,1619618.391536545,1275337.0224862157
296.84999999998865,31459.22358891916,28965.636938999884,-50.94059336121558,-1017.0820125238191,1.5206833840105687,0.0005256351709043761,4.662345757013437,-3.1416623730028683,1618427.356014084,1274145.9869637548
296.94999999998856,31454.13813787187,28864.034180014718,-50.802876743296665,-1015.3946730448106,1.5207326084639188,0.0005061208343361194,4.662398025514072,-3.1416654170501532,1617236.3728903048,1272955.0038399755
297.0499999999885,31449.066453647305,28762.60027918905,-50.66521214476847,-1013.7053468758456,1.5207881766891143,0.000557064254329091,4.662450319397162,-3.1416621427080473,1616045.442470383,1271764.0734200536
297.1499999999884,31444.008538744263,28661.335435106423,-50.527521251154994,-1012.014033086792,1.520838235130918,0.000485790705955637,4.662502716243114,-3.141664481112196,1614854.5646627657,1270573.1956124364
297.2499999999883,31438.964386772266,28560.23984727065,-50.38991787567603,-1010.3207213342115,1.5208925110096232,0.0005690803318914964,4.662555103997818,-3.1416625929881947,1613663.7396810763,1269382.370630747
297.3499999999882,31433.933997984917,28459.313715318916,-50.25227073134673,-1008.6254135525717,1.5209444619417742,0.00048609182305216626,4.662607612862277,-3.1416631509205026,1612472.9673727266,1268191.5983223973
297.4499999999881,31428.917368711573,28358.557239574126,-50.11471419077059,-1006.9280979263392,1.5209969535744063,0.0005623904065006829,4.6626601100598135,-3.141663156485407,1611282.2479818575,1267000.8789315282
297.549999999988,31423.914496100995,28257.970620791348,-49.9771263329087,-1005.2287760279728,1.5210507891438407,0.0005011626895792078,4.662712716909418,-3.1416619277655773,1610091.581569504,1265810.2125191747
297.6499999999879,31418.925379261625,28157.55406011259,-49.83960813885511,-1003.5274377556764,1.521101878827584,0.000545717658000778,4.662765333406429,-3.141663454578845,1608900.9680441134,1264619.598993784
297.74999999998784,31413.950012786067,28057.30775940474,-49.70208774829674,-1001.8240818822068,1.5211569823811337,0.0005214744630815489,4.662818031408891,-3.1416610490277574,1607710.4074667208,1263429.0384163915
297.84999999998774,31408.98839761417,27957.231920680926,-49.56460696652071,-1000.118701601115,1.5212073878286276,0.0005278748319241305,4.662870769617405,-3.141663381788778,1606519.899928879,1262238.5308785497
297.94999999998765,31404.040526908913,27857.326746844246,-49.427155706725614,-998.4112924088198,1.5212630440131636,0.0005398457984673477,4.662923558413116,-3.1416605143999523,1605329.4454611056,1261048.0764107762
