time,x,y,vx,vy,theta,theta_dot,alpha,mass,MomentsApplied,ParallelThrust,PerpendicularThrust
43.78,742.521232638122,7030.95518483141,47.2944603468996,308.581152530534,1.44549700217187,-0.00534967983778395,-0.0267815092540935,6550437.40530202,-38364510.0529117,99909130.6201449,-817352.951624415
43.79,742.994177241591,7034.04099635671,47.3120614920597,308.633386894833,1.44544350537349,-0.00536940832141612,-0.0267583890020546,6550154.51800955,-38368758.6274348,99919404.9845911,-817443.523302379
43.8,743.467297856512,7037.12733022566,47.3296730091411,308.685640934816,1.44538981129028,-0.00538913941853615,-0.0267350841819913,6549871.60419832,-38372691.8306672,99929756.4918589,-817527.368260368
43.81,743.940594586603,7040.21418663501,47.3472949103006,308.737914470182,1.44533591989609,-0.00540887308670454,-0.0267115948809158,6549588.66364995,-38376309.615122,99940186.9787203,-817604.487388284
43.82,744.414067535706,7043.30156577971,47.3649272530403,308.790207616124,1.44528183116522,-0.00542860916266213,-0.0266879211863105,6549305.69614701,-38379611.9340373,99950697.4151675,-817674.885557523
43.83,744.887716808237,7046.38946785587,47.3825700952516,308.842520490635,1.4452275450736,-0.00544834748319444,-0.0266640631870338,6549022.70146688,-38382598.7434607,99961287.4732815,-817738.561830671
43.84,745.361542509189,7049.47789306078,47.4002234950422,308.894853213176,1.44517306159877,-0.00546808788505095,-0.0266400209734141,6548739.67938418,-38385270.0022472,99971956.8131962,-817795.51533012
43.85,745.83554474414,7052.56684159291,47.4178875104972,308.94720590271,1.44511838071992,-0.00548783020494652,-0.0266157946374479,6548456.62967451,-38387625.6720603,99982705.0888919,-817845.745238101
43.86,746.309723619245,7055.65631365194,47.4355621996764,308.999578677686,1.44506350241787,-0.00550757427956296,-0.0265913842728007,6548173.55211438,-38389665.7173739,99993531.9568015,-817889.250796718
43.87,746.784079241241,7058.74630943871,47.4532476206127,309.051971656031,1.44500842667507,-0.00552731994555041,-0.0265667899748083,6547890.44648134,-38391390.1054686,100004437.075891,-817926.031307873
43.88,747.258611717448,7061.83682915528,47.4709438313124,309.104384955148,1.44495315347561,-0.00554706703952888,-0.0265420118404749,6547607.31255387,-38392798.806439,100015420.107702,-817956.086133415
43.89,747.733321155761,7064.92787300483,47.4886508897552,309.156818691924,1.44489768280522,-0.00556681539808962,-0.0265170499684722,6547324.15011146,-38393891.7931881,100026480.716338,-817979.414695029
43.9,748.208207664658,7068.01944119175,47.5063688538945,309.209272982733,1.44484201465124,-0.00558656485779666,-0.0264919044591387,6547040.95893455,-38394669.0414309,100037618.568446,-817996.01647431
43.91,748.683271353197,7071.11153392157,47.5240977816574,309.26174794344,1.44478614900266,-0.0056063152551882,-0.0264665754144793,6546757.73880452,-38395130.5296941,100048833.333207,-818005.891012752
43.92,749.158512331014,7074.20415140101,47.5418377309451,309.314243689402,1.44473008585011,-0.00562606642677812,-0.0264410629381635,6546474.48950373,-38395276.2393167,100060124.682315,-818009.037911767
43.93,749.633930708323,7077.2972938379,47.559588759633,309.366760335476,1.44467382518584,-0.00564581820905742,-0.0264153671355252,6546191.21081546,-38395106.1544501,100071492.289965,-818005.456832684
43.94,750.10952659592,7080.39096144126,47.5773509255708,309.41929799602,1.44461736700375,-0.00566557043849565,-0.0263894881135607,6545907.90252394,-38394620.2620599,100082935.832837,-817995.147496789
43.95,750.585300105175,7083.48515442122,47.5951242865824,309.471856784898,1.44456071129936,-0.00568532295154244,-0.0263634259809282,6545624.56441431,-38393818.551922,100094454.990081,-817978.10968524
43.96,751.061251348041,7086.57987298906,47.6129089004666,309.524436815482,1.44450385806985,-0.00570507558462888,-0.026337180847948,6545341.19627265,-38392701.0166306,100106049.443302,-817954.343239235
43.97,751.537380437046,7089.67511735722,47.6307048249969,309.577038200657,1.444446807314,-0.00572482817416903,-0.0263107528265989,6545057.79788594,-38391267.6515897,100117718.876546,-817923.84805984
43.98,752.013687485296,7092.77088773923,47.6485121179217,309.629661052825,1.44438955903226,-0.00574458055656135,-0.0262841420305198,6544774.36904207,-38389518.4550202,100129462.976284,-817886.62410813
43.99,752.490172606475,7095.86718434975,47.6663308369643,309.682305483905,1.4443321132267,-0.00576433256819021,-0.0262573485750066,6544490.90952985,-38387453.4279566,100141281.431398,-817842.671405127
44,752.966835914845,7098.96400740459,47.6841610398235,309.734971605344,1.44427446990101,-0.00578408404542729,-0.0262303725770121,6544207.41913894,-38385072.5742484,100153173.933167,-817791.990031822
44.01,753.443677525243,7102.06135712064,47.7020027841732,309.787659528113,1.44421662906056,-0.00580383482463306,-0.0262032141551449,6543923.89765993,-38382375.9005598,100165140.175251,-817734.580129176
44.02,753.920697553084,7105.15923371593,47.7198561276628,309.840369362712,1.44415859071231,-0.00582358474215826,-0.0261758734296687,6543640.34488426,-38379363.4163715,100175737.078999,-817670.428959989
44.03,754.397896114361,7108.25763740955,47.7377211274104,309.893101215887,1.44410035486489,-0.00584333363546836,-0.0261483505225004,6543356.76058633,-38376035.1339776,100185679.54913,-817599.5489976
44.04,754.875273325635,7111.35656842171,47.7555975622445,309.945853007918,1.44404192152854,-0.00586308134168207,-0.0261206457417149,6543073.14863473,-38372391.0684704,100195691.983055,-817521.941289015
44.05,755.352829301258,7114.45602695179,47.7734853486496,309.998623742683,1.44398329071512,-0.00588282769789081,-0.0260927593051843,6542789.51088314,-38368431.237743,100205783.670908,-817437.606214544
44.06,755.830564154744,7117.55601318922,47.7913845431929,310.051413524161,1.44392446243814,-0.00590257254039246,-0.0260646913397513,6542505.84713447,-38364155.6624919,100215959.155686,-817346.544214427
44.07,756.308478000176,7120.65652732446,47.8092952042745,310.104222470461,1.44386543671274,-0.00592231570546745,-0.02603644197268,6542222.15716534,-38359564.3662297,100226218.160386,-817248.755788907
44.08,756.786570952219,7123.75756954916,47.8272173912064,310.157050706578,1.44380621355568,-0.0059420570293952,-0.0260080113322638,6541938.44073953,-38354657.3752856,100236560.346388,-817144.241498234
44.09,757.264843126131,7126.85914005623,47.8451511632814,310.209898357087,1.44374679298539,-0.00596179634845573,-0.0259793995484401,6541654.69762161,-38349434.7188048,100246985.345177,-817033.001962657
44.1,757.743294637763,7129.9612390398,47.8630965797608,310.262765546052,1.4436871750219,-0.00598153349893133,-0.0259506067527961,6541370.92757708,-38343896.4287495,100257492.790358,-816915.037862434
44.11,758.221925603561,7133.06386669526,47.8810536998681,310.315652396975,1.44362735968692,-0.0060012683171079,-0.0259216330785736,6541087.13037253,-38338042.5399,100268082.318078,-816790.34993787
44.12,758.70073614056,7136.16702321923,47.8990225827893,310.368559032805,1.44356734700374,-0.00602100063927652,-0.0258924786606654,6540803.30577557,-38331873.08985,100278753.567219,-816658.938989204
44.13,759.179726366388,7139.27070880956,47.9170032876731,310.421485575937,1.44350713699735,-0.00604073030173481,-0.0258631436356163,6540519.45355486,-38325388.1190127,100289506.179393,-816520.805876745
44.14,759.658896399264,7142.37492366532,47.9349958736307,310.47443214822,1.44344672969433,-0.00606045714078849,-0.0258336281416198,6540235.57348008,-38318587.6706162,100300339.798918,-816375.951520772
44.15,760.138246358001,7145.4796679868,47.9530003997364,310.527398870958,1.44338612512293,-0.00608018099275274,-0.0258039323185184,6539951.66532193,-38311471.790704,100311254.072811,-816224.376901553
44.16,760.617776361998,7148.58494197551,47.9710169250276,310.580385864914,1.443325323313,-0.00609990169395374,-0.0257740563078013,6539667.72885212,-38304040.5281368,100322248.650766,-816066.083059364
44.17,761.097486531248,7151.69074583416,47.9890455085051,310.633393250318,1.44326432429606,-0.0061196190807301,-0.0257440002526033,6539383.76384338,-38296293.9345904,100333323.185135,-815901.071094469
44.18,761.577376986334,7154.79707976666,48.0070862091331,310.686421146864,1.44320312810525,-0.00613933298943427,-0.0257137642977034,6539099.77006941,-38288232.0645575,100344477.330921,-815729.342167136
44.19,762.057447848425,7157.90394397813,48.0251390858394,310.739469673722,1.44314173477536,-0.00615904325643411,-0.0256833485895236,6538815.74730492,-38279854.9753438,100355710.745753,-815550.89749757
44.2,762.537699239283,7161.01133867487,48.0432041975158,310.792538949535,1.44308014434279,-0.00617874971811423,-0.025652753276127,6538531.69532561,-38271162.7270723,100367023.089875,-815365.738365996
44.21,763.018131281258,7164.11926406436,48.0612816030181,310.845629092426,1.44301835684561,-0.00619845221087752,-0.0256219785072174,6538247.61390814,-38262155.3826801,100378414.026127,-815173.866112593
44.22,763.498744097289,7167.22772035529,48.0793713611662,310.898740220003,1.4429563723235,-0.00621815057114661,-0.0255910244341364,6537963.50283013,-38252833.0079172,100389883.219935,-814975.282137469
44.23,763.9795378109,7170.33670775749,48.0974735307445,310.951872449361,1.44289419081779,-0.00623784463536526,-0.0255598912098634,6537679.36187018,-38243195.67135,100401430.339396,-814769.982841554
44.24,764.460512546208,7173.44622648198,48.1155881705016,311.005025897085,1.44283181237144,-0.00625753423992552,-0.0255285789890127,6537395.19080783,-38233243.4443578,100413055.055128,-814557.966235515
44.25,764.941668427913,7176.55627674095,48.1337153391589,311.058200679255,1.44276923702904,-0.00627721922119188,-0.0254970879278591,6537110.98942357,-38222976.4011339,100424757.040019,-814339.242473802
44.26,765.423005581304,7179.66685874774,48.1518550954075,311.11139691145,1.44270646483683,-0.00629689941568049,-0.0254654181843275,6536826.75749882,-38212394.6186872,100436535.969666,-814113.813196725
44.27,765.904524132258,7182.77797271686,48.1700074978909,311.164614708752,1.44264349584267,-0.00631657465993451,-0.0254335699179333,6536542.49481594,-38201498.1768398,100448391.522164,-813881.680104525
44.28,766.386224207237,7185.88961886395,48.1881726052174,311.217854185748,1.44258033009607,-0.00633624479052556,-0.0254015432898207,6536258.20115821,-38190287.1582248,100460323.378104,-813642.844957329
44.29,766.868105933289,7189.0017974058,48.2063504759607,311.271115456538,1.44251696764817,-0.0063559096440552,-0.0253693384627629,6535973.87630983,-38178761.6482875,100472331.220552,-813397.30957518
44.3,767.350169438049,7192.11450856037,48.2245411686598,311.324398634733,1.44245340855173,-0.00637556905715637,-0.0253369556011587,6535689.52005591,-38166921.7352837,100484414.735029,-813145.075838001
44.31,767.832414849736,7195.22775254672,48.2427447418195,311.377703833463,1.44238965286115,-0.00639522286649485,-0.025304394871033,6535405.13218245,-38154767.5102798,100496573.609507,-812886.145685588
44.32,768.314842297154,7198.34152958505,48.2609612539101,311.431031165377,1.44232570063249,-0.00641487090877072,-0.0252716564400339,6535120.71247637,-38142299.067152,100508807.534384,-812620.52111761
44.33,768.797451909693,7201.45583989671,48.2791907633678,311.484380742651,1.4422615519234,-0.0064345130207198,-0.025238740477431,6534836.26072544,-38129516.5025861,100521116.202472,-812348.204193582
44.34,769.280243817327,7204.57068370413,48.2974333285947,311.537752676986,1.44219720679319,-0.00645414903911512,-0.0252056471541151,6534551.77671836,-38116419.9160767,100532467.509136,-812069.197032869
44.35,769.763218150613,7207.6860612309,48.3156890075837,311.591147077197,1.4421326653028,-0.00647377880169772,-0.0251723766425949,6534267.26023207,-38103009.4099264,100542715.27099,-811783.501814662
44.36,770.246375040688,7210.80197270167,48.3339576557332,311.644562485261,1.44206792751479,-0.00649340214637862,-0.0251389292434929,6533982.71396284,-38089285.089228,100553033.918327,-811491.120777433
44.37,770.729714617246,7213.91841832653,48.3522390998502,311.697997223799,1.44200299349332,-0.00651301891004928,-0.0251053052764876,6533698.14103495,-38075247.0618651,100563430.034749,-811192.056219098
44.38,771.213237008244,7217.03539829877,48.3705333971391,311.751451397849,1.44193786330422,-0.00653262892962066,-0.02507150491879,6533413.54124877,-38060895.4385245,100573911.167343,-810886.310497468
