Iteration,Objective,Altitude_Violation,Velocity_Violation,Dynamic_Pressure_Violation,Propellant_Violation,Burn_Time,Final_Altitude,Final_Velocity,Min_Propellant_Mass
0,200.3842070773273,4107.980168703028,26.792170142079293,0,0,75.0,4112.730168703028,-26.742170142079292,399445.71885443665
1,198.89270449211742,3998.8956939921786,28.930445440177103,0,0,74.53925753030376,4003.6456939921786,-28.880445440177102,400935.8720577574
2,192.661442294907,2833.35977961082,51.194936521531794,0,0,73.98289147343148,2838.10977961082,-51.1449365215318,407174.58343653654
3,194.43410955191843,1610.4747262392789,43.52381649683111,0,0,74.0090784215545,1615.2247262392789,-43.47381649683111,405390.30228943145
4,194.66853886591753,1037.2848434925515,44.04693780176454,0,0,74.16124232191761,1042.0348434925515,-43.996937801764545,405174.5502998191
5,198.32490490996392,527.9523406765758,40.38717577364436,0,0,75.41540180597109,532.7023406765758,-40.33717577364436,401590.0827875203
6,208.40209985311694,608.3674601989143,47.10011261894004,0,0,80.6894093435412,-603.3674601989143,-47.05011261894004,391567.34005784953
7,213.14353380645844,408.6808501475121,44.55566775731878,0,0,82.6135324489608,-403.6808501475121,-44.50566775731878,386841.00197791465
8,217.12410112815152,528.5495527254625,46.18569043418227,0,0,84.4960012985091,-523.5495527254625,-46.13569043418227,383148.23030946316
9,217.12410112815152,528.5495527254625,46.18569043418227,0,0,84.4960012985091,-523.5495527254625,-46.13569043418227,383148.23030946316
10,217.12410112815152,528.5495527254625,46.18569043418227,0,0,84.4960012985091,-523.5495527254625,-46.13569043418227,383148.23030946316
11,217.12410112815152,528.5495527254625,46.18569043418227,0,0,84.4960012985091,-523.5495527254625,-46.13569043418227,383148.23030946316
12,222.2157437811304,720.4889091024739,41.64973820077287,0,0,86.41442453937995,-715.4889091024739,-41.599738200772876,378055.3055262635
13,222.2157437811304,720.4889091024739,41.64973820077287,0,0,86.41442453937995,-715.4889091024739,-41.599738200772876,378055.3055262635
14,222.2157437811304,720.4889091024739,41.64973820077287,0,0,86.41442453937995,-715.4889091024739,-41.599738200772876,378055.3055262635
15,222.2157437811304,720.4889091024739,41.64973820077287,0,0,86.41442453937995,-715.4889091024739,-41.599738200772876,378055.3055262635
16,225.1829526510231,932.7057286425597,42.490915495812196,0,0,87.9532670171559,-927.7057286425597,-42.4409154958122,374964.4439439868
17,229.76798721244157,790.6966565837037,37.34494321868041,0,0,89.59145823725771,-785.6966565837037,-37.294943218680416,370385.440954962
18,244.47095734558042,450.2632825372956,25.3220356891059,0,0,95.23401498952587,-445.2632825372956,-25.2720356891059,356030.82106797036
19,244.47095734558042,450.2632825372956,25.3220356891059,0,0,95.23401498952587,-445.2632825372956,-25.2720356891059,356030.82106797036
20,255.8603917145841,449.4864950521671,21.47770410024572,0,0,100.28427219627442,-444.4864950521671,-21.42770410024572,344856.0124034137
21,256.03876537970524,470.59418113161985,18.658390962048877,0,0,100.15856955515005,-465.59418113161985,-18.608390962048876,344526.77103719435
22,256.464603348103,527.6510104193466,18.73705261089932,0,0,100.34918725893144,-522.6510104193466,-18.68705261089932,344155.16323340574
23,256.464603348103,527.6510104193466,18.73705261089932,0,0,100.34918725893144,-522.6510104193466,-18.68705261089932,344155.16323340574
24,256.2033955443404,558.164670891542,18.688001585959793,0,0,100.28370846075731,-553.164670891542,-18.638001585959792,344278.49244462757
25,256.0414274647523,489.34784184418754,18.12488109783661,0,0,100.21484097267704,-484.34784184418754,-18.07488109783661,344301.56336820114
26,256.43041771637303,387.7741283276332,14.652482757492127,0,0,100.19705235797637,-382.7741283276332,-14.602482757492126,343617.0250019639
27,257.1873613437016,262.4898511664314,10.067410389355043,0,0,100.12882283537895,-257.4898511664314,-10.017410389355042,342805.0964851188
28,257.1873613437016,262.4898511664314,10.067410389355043,0,0,100.12882283537895,-257.4898511664314,-10.017410389355042,342805.0964851188
29,257.1873613437016,262.4898511664314,10.067410389355043,0,0,100.12882283537895,-257.4898511664314,-10.017410389355042,342805.0964851188
30,257.1873613437016,262.4898511664314,10.067410389355043,0,0,100.12882283537895,-257.4898511664314,-10.017410389355042,342805.0964851188
31,257.3884551216874,221.34438914253096,8.594450877445412,0,0,100.10779897419607,-216.34438914253096,-8.544450877445412,342542.6371417607
32,257.3884551216874,221.34438914253096,8.594450877445412,0,0,100.10779897419607,-216.34438914253096,-8.544450877445412,342542.6371417607
33,257.62484293522476,184.90842397388434,7.252871029287735,0,0,100.09080780653704,-179.90842397388434,-7.202871029287735,342299.2911155055
34,258.23832802906776,96.584967544713,3.842345425263844,0,0,100.04604933259915,-91.584967544713,-3.792345425263844,341684.2038517714
35,258.5522099183454,51.623536599397916,2.0995751846759143,0,0,100.0228327859269,-46.623536599397916,-2.0495751846759145,341370.7735162015
36,258.7086606301047,28.56282529853747,1.2016137055988316,0,0,100.0107850820433,-23.56282529853747,-1.1516137055988316,341209.4961813857
37,258.7086606301047,28.56282529853747,1.2016137055988316,0,0,100.0107850820433,-23.56282529853747,-1.1516137055988316,341209.4961813857
38,258.7086606301047,28.56282529853747,1.2016137055988316,0,0,100.0107850820433,-23.56282529853747,-1.1516137055988316,341209.4961813857
39,258.7086606301047,28.56282529853747,1.2016137055988316,0,0,100.0107850820433,-23.56282529853747,-1.1516137055988316,341209.4961813857
40,258.7086606301047,28.56282529853747,1.2016137055988316,0,0,100.0107850820433,-23.56282529853747,-1.1516137055988316,341209.4961813857
41,258.7271651183587,23.23021535745523,0.9985004315817148,0,0,100.00807739562042,-18.23021535745523,-0.9485004315817147,341172.987167189
42,258.7746152946758,13.42985544180784,0.61397462006231,0,0,100.00285059655842,-8.42985544180784,-0.5639746200623099,341104.077923306
43,258.80760847914155,7.714863566808572,0.391082029083893,0,0,99.99980088858936,-2.714863566808572,-0.341082029083893,341064.1763221896
44,258.82925439736795,4.2544450513493555,0.2569986269545006,0,0,99.99795039410786,0.7455549486506449,-0.2069986269545006,341040.20612108085
45,258.8418858491508,2.245097521807497,0.18042582875062346,0,0,99.996887620216,2.754902478192503,-0.13042582875062347,341026.5294035755
46,258.84853549362776,1.1882269908113923,0.14045383434610714,0,0,99.9963291912193,3.8117730091886077,-0.09045383434610715,341019.3974094043
47,258.85190162166987,0.652716829313678,0.12026734336063795,0,0,99.996046245052,4.347283170686322,-0.07026734336063795,341015.79753823
48,258.8535782741902,0.3856424916499668,0.11015497637158235,0,0,99.99590367526035,4.614357508350033,-0.06015497637158235,341013.99587748083
