t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg]
442.60000000003214,26222.614004298677,51699.57566274086,-18.731778926742386,-1566.7906080900668,973760.8430943922
442.70000000003216,26220.760696742807,51543.14443654274,-18.533075558682746,-1564.312261981256,973041.3149161484
442.8000000000322,26218.925502788235,51386.96189336082,-18.351939545710827,-1561.8254318191298,972321.7867379047
442.9000000000322,26217.106282116547,51231.02900489169,-18.192206716901588,-1559.3288846913345,971602.2585596609
443.00000000003223,26215.300555842412,51075.346842990504,-18.057262741365427,-1556.8216190117969,970882.7303814171
443.10000000003225,26213.505516029054,50919.9165550684,-17.950398133579075,-1554.302879221054,970163.2022031733
443.2000000000323,26211.718068486418,50764.73929715484,-17.874475426344794,-1551.7725791355435,969443.6740249295
443.3000000000323,26209.934861830425,50609.81630108342,-17.832066559945737,-1549.2299607142522,968724.1458466857
443.4000000000323,26208.153159718506,50455.147593012225,-17.817021119172306,-1546.6870807119333,968004.617668442
443.50000000003234,26206.368586065542,50300.73233857658,-17.84573652963229,-1544.152544356506,967285.0894901982
443.60000000003237,26204.57717449878,50146.5697139132,-17.91411566763135,-1541.6262466337355,966565.5613119544
443.7000000000324,26202.775045411992,49992.65887369872,-18.021290867883856,-1539.1084021448498,965846.0331337106
443.8000000000324,26200.958529485746,49838.99902034783,-18.16515926244995,-1536.59853350889,965126.5049554668
443.90000000003243,26199.12429478007,49685.589449637555,-18.342347056737957,-1534.0957071027492,964406.976777223
444.00000000003246,26197.269470628322,49532.429588369014,-18.548241517479372,-1531.598612685385,963687.4485989793
444.1000000000325,26195.391764352917,49379.51902680554,-18.777062754041157,-1529.1056156347802,962967.9204207355
444.2000000000325,26193.489566168697,49226.857545974664,-19.021981842200617,-1526.6148083087533,962248.3922424917
444.3000000000325,26191.562037420168,49074.44513919457,-19.275287485282576,-1524.124067800958,961528.8640642479
444.40000000003255,26189.60917746464,48922.28202698099,-19.528599555260243,-1521.6311221357876,960809.3358860041
444.50000000003257,26187.63186499689,48770.36866446064,-19.773124677535385,-1519.1336252034719,960089.8077077604
444.6000000000326,26185.631870359404,48618.70574042933,-19.999946374844917,-1516.6292403131395,959370.2795295166
444.7000000000326,26183.611836322754,48467.29416713369,-20.20034036650558,-1514.1157329563803,958650.7513512728
444.80000000003264,26181.575225824294,48316.13505947546,-20.366104984613006,-1511.5910765822866,957931.223173029
444.90000000003266,26179.526235968027,48165.22970076995,-20.489898562675233,-1509.053587055125,957211.6949947852
445.0000000000327,26177.46967809118,48014.5794852284,-20.565578768483178,-1506.5021554154985,956492.1668165415
445.1000000000327,26175.410859139552,47864.185784412555,-20.588189516282537,-1503.93700815848,955772.6386382977
445.20000000003273,26173.354914166306,47714.0499868435,-20.559449732453874,-1501.3579756905474,955053.1104600539
445.30000000003275,26171.307030625372,47564.17121555959,-20.478835409325004,-1498.787712839147,954333.5822818101
445.4000000000328,26169.27255348409,47414.54827959322,-20.34477141280667,-1496.2293596637273,953614.0541035663
445.5000000000328,26167.25666836667,47265.17985693608,-20.158851174184996,-1493.684226571342,952894.5259253226
445.6000000000328,26165.264261253593,47116.06466835565,-19.924071130773576,-1491.1518858043707,952174.9977470788
445.70000000003284,26163.299745350152,46967.20156927255,-19.645159034412444,-1488.630990830997,951455.469568835
445.80000000003287,26161.366863705487,46818.58962276139,-19.328816446638424,-1486.1194651115486,950735.9413905912
445.9000000000329,26159.46851469461,46670.22815764474,-18.983490108783435,-1483.6146511664735,950016.4132123474
446.0000000000329,26157.606597661965,46522.11681597863,-18.619170326459184,-1481.1134166611027,949296.8850341036
446.10000000003294,26155.781888016063,46374.255588869586,-18.247096459018906,-1478.6122710904497,948577.3568558599
446.20000000003296,26153.993950161963,46226.644838939676,-17.879378540995436,-1476.1074992990884,947857.8286776161
446.300000000033,26152.2410952417,46079.28530762831,-17.52854920262447,-1473.595313113618,947138.3004993723
446.400000000033,26150.520388687295,45932.17810543884,-17.207065544045797,-1471.0720218947201,946418.7723211285
446.500000000033,26148.827710089347,45785.32468271457,-16.926785979491726,-1468.534227242711,945699.2441428847
446.60000000003305,26147.15786474477,45638.72677605,-16.698453445739883,-1465.9790666456645,944979.715964641
446.70000000003307,26145.50474158105,45492.38631328297,-16.53123163718247,-1463.404627670286,944260.1877863972
446.8000000000331,26143.861499294853,45346.30518475375,-16.432422861982356,-1460.8112852921888,943540.6596081534
446.9000000000331,26142.220823766558,45200.485111726695,-16.40675528293381,-1458.2007302705363,942821.1314299096
447.00000000003314,26140.575436852083,45054.92477943529,-16.45386914474431,-1455.6033229140633,942101.6032516658
447.10000000003316,26138.91722679087,44909.62273023651,-16.58210061214139,-1453.0204919878418,941382.075073422
447.2000000000332,26137.23860672087,44764.57741945053,-16.786200699956463,-1450.453107859777,940662.5468951783
447.3000000000332,26135.53284806017,44619.787461646,-17.057586607014514,-1447.899578045264,939943.0187169345
447.40000000003323,26133.79447384692,44475.25176144581,-17.383742132501737,-1445.3570020019015,939223.4905386907
447.50000000003325,26132.019606335023,44330.96960817406,-17.748675118966755,-1442.8215327174694,938503.9623604469
447.6000000000333,26130.206246773123,44186.940744653555,-18.133595619015317,-1440.2886352050684,937784.4341822031
447.7000000000333,26128.354466178538,44043.16540960285,-18.517805945859752,-1437.7533505070426,937064.9060039594
447.8000000000333,26126.466489017257,43899.64435092488,-18.879771612793636,-1435.2105867796938,936345.3778257156
447.90000000003334,26124.546656900744,43756.37880655096,-19.198321165117264,-1432.6554437391906,935625.8496474718
448.00000000003337,26122.60126573206,43613.37044781059,-19.453911686819282,-1430.0835874037243,934906.321469228
448.1000000000334,26120.638276046036,43470.62127128367,-19.629896860235608,-1427.4917652691709,934186.7932909842
448.2000000000334,26118.666931616488,43328.13336593784,-19.713444295477938,-1424.8790534582836,933467.2651127405
448.30000000003344,26116.69706200037,43185.9090006134,-19.698696161179978,-1422.2436532444374,932747.7369344967
448.40000000003346,26114.73767664705,43043.94716641391,-19.593853533200853,-1419.6183419948788,932028.2087562529
448.5000000000335,26112.79827070296,42902.24573546144,-19.394059440913637,-1417.0143095247802,931308.6805780091
448.6000000000335,26110.887666494862,42760.802588584556,-19.106042080977684,-1414.431468768845,930589.1523997653
448.7000000000335,26109.01353863304,42619.61582272365,-18.741278618202834,-1411.8676586090448,929869.6242215215
448.80000000003355,26107.18193746201,42478.68396363919,-18.31601171031212,-1409.318590844664,929150.0960432778
448.9000000000336,26105.396870095956,42338.0061085342,-17.850673660549155,-1406.7785510498702,928430.567865034
449.0000000000336,26103.659978530683,42197.58202270977,-17.368915652716893,-1404.240858244322,927711.0396867902
449.1000000000336,26101.970346398048,42057.41219023421,-16.896321326362884,-1401.698324755646,926991.5115085464
