t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg],tau[-]
442.60000000003214,26222.618765558458,51699.30102672771,-18.68416632892967,-1569.5369682215937,974276.4834806775,0.1275134305445333
442.70000000003216,26220.770630674848,51542.567870176455,-18.4813488361138,-1567.331565512567,973402.3828291569,0.5466711451722376
442.8000000000322,26218.939873148047,51386.1613701979,-18.3075752680257,-1564.0649997855605,972243.6483541521,0.7246839380563315
442.9000000000322,26217.1245440281,51230.126828303924,-18.153291199459982,-1560.345418939754,970965.7730989538,0.7991957538658697
443.00000000003223,26215.322936553683,51074.483405258405,-18.01607474418359,-1556.4342304552115,969639.948240462,0.8291839074010009
443.10000000003225,26213.53328419231,50919.23902051585,-17.896523613744627,-1552.4438474254953,968296.8288221615,0.8400000952157883
443.2000000000323,26211.753674813834,50764.39673900388,-17.79609378473952,-1548.4228151197262,966949.6370221403,0.8425470028001818
443.3000000000323,26209.982005489117,50609.95747419196,-17.716693247169346,-1544.3926481192793,965604.0662141404,0.8415332184458699
443.4000000000323,26208.216281227084,50455.92133121609,-17.657242620320897,-1540.3614297586694,964262.4720455275,0.8390461890587193
443.50000000003234,26206.45560475236,50302.28677185184,-17.60676474726177,-1536.3455936425014,962925.9616312044,0.8358667591217745
443.60000000003237,26204.697053091793,50149.052192010786,-17.585516605652817,-1532.345798410532,961593.1067594942,0.8335805468154333
443.7000000000324,26202.93806626288,49996.216583113295,-17.589868289155188,-1528.3560889748753,960262.3393104963,0.832275052119134
443.8000000000324,26201.176058597786,49843.77912782189,-17.620076650942963,-1524.3745529140808,958933.0237789963,0.83136700863487
443.90000000003243,26199.40847358042,49691.73914400043,-17.675850173656524,-1520.3998382146044,957604.8226556644,0.8306700468051024
444.00000000003246,26197.632845046544,49540.09603936196,-17.756285338759618,-1516.4310463847064,956277.6106370239,0.830051451002196
444.1000000000325,26195.846859214325,49388.84928535649,-17.85985832217599,-1512.4675400546882,954951.4054062025,0.8294217959973237
444.2000000000325,26194.048416659723,49237.99840243354,-17.984425546032693,-1508.508829229501,953626.3282763513,0.8287162705545007
444.3000000000325,26192.23569295339,49087.54295077561,-18.127237063361203,-1504.5545165793096,952302.5825264802,0.8278836124193745
444.40000000003255,26190.407196402717,48937.48252324571,-18.284965506708865,-1500.6042752990588,950980.4402725783,0.8268807702681944
444.50000000003257,26188.561821221967,48787.81673892308,-18.4537518075174,-1496.6578432262577,949660.23280553,0.8256707355392355
444.6000000000326,26186.698894429013,48638.545236476704,-18.629267929531423,-1492.715024463757,948342.3418444337,0.8242219699314971
444.7000000000326,26184.818214815234,48489.66766707789,-18.80679613780882,-1488.7756939881417,947027.1905002097,0.8225085865925491
444.80000000003264,26182.920082444165,48341.183686784534,-18.981323710688503,-1484.8398029335674,945715.2334350966,0.820510853017496
