t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg]
433.8100000000301,13636.740598730434,45975.21085816833,-62.32213980545682,-1527.5232697021627,511206.8191055504
433.82000000003006,13636.118489898337,45959.951517457215,-62.210883209668374,-1525.9340711115615,510966.97771256
433.83000000003005,13635.497494935418,45944.70807658335,-62.0994962919585,-1524.344087386473,510727.13635667285
433.84000000003005,13634.877615128298,45929.48054340657,-61.98798071197434,-1522.753317677917,510487.2950377192
433.85000000003004,13634.258851751889,45914.26892579487,-61.87633764092717,-1521.1617611694633,510247.45375574677
433.86000000003,13633.64120606939,45899.07323162444,-61.764568249972754,-1519.5694170433685,510007.61251078954
433.87000000003,13633.024679332286,45883.893468779635,-61.65267371028113,-1517.9762844805746,509767.77130286774
433.88000000003,13632.409272780356,45868.72964515303,-61.540655193014835,-1516.3823626607136,509527.9301319884
433.89000000003,13631.794987641662,45853.5817686454,-61.428513869307245,-1514.7876507621124,509288.0889981457
433.90000000003,13631.18182513256,45838.449847165786,-61.316250910241024,-1513.1921479617972,509048.24790132116
433.91000000003,13630.569786457692,45823.33388863143,-61.203867486826724,-1511.5958534354975,508808.4068414839
433.92000000003,13629.958872809993,45808.233900967854,-61.09136476998148,-1509.9987663576514,508568.5658185912
433.93000000002996,13629.349085370688,45793.14989210884,-60.978743930507854,-1508.4008859014095,508328.72483258863
433.94000000002995,13628.740425309297,45778.08186999646,-60.866006139072766,-1506.8022112386393,508088.88388341037
433.95000000002995,13628.132893783635,45763.02984258106,-60.753152566186614,-1505.2027415399293,507849.04297097947
433.96000000002994,13627.526491939814,45747.99381782131,-60.64018438218244,-1503.6024759745942,507609.2020952083
433.9700000000299,13626.921220912242,45732.9738036842,-60.52710275719526,-1502.0014137106778,507369.3612559986
433.9800000000299,13626.31708182363,45717.969808145055,-60.41390886114151,-1500.399553914958,507129.520453242
433.9900000000299,13625.714075784994,45702.98183918752,-60.30060386369861,-1498.7968957529508,506889.6796868201
434.0000000000299,13625.112203895651,45688.009904803635,-60.18718893428467,-1497.193438388914,506649.83895660477
434.0100000000299,13624.51146724323,45673.05401299378,-60.073665242038246,-1495.589180985852,506409.9982624586
434.0200000000299,13623.911866903672,45658.11417176673,-59.960033955798316,-1493.9841227055185,506170.1576042349
434.0300000000299,13623.313403941233,45643.19038913964,-59.84629624408431,-1492.378262708422,505930.3169817781
434.04000000002986,13622.716079408481,45628.28267313811,-59.73245327507624,-1490.771600153828,505690.4763949239
434.05000000002985,13622.119894346315,45613.391031796105,-59.61850621659504,-1489.1641341997647,505450.6358434998
434.06000000002985,13621.524849783955,45598.515473156076,-59.504456236082916,-1487.5558640030247,505210.7953273249
434.07000000002984,13620.930946738948,45583.65600526889,-59.3903045005839,-1485.9467887191706,504970.9548462104
434.0800000000298,13620.338186217181,45568.81263619386,-59.27605217672446,-1484.3369075025375,504731.11439996
434.0900000000298,13619.746569212874,45553.9853739988,-59.16170043069427,-1482.7262195062374,504491.27398836956
434.1000000000298,13619.156096708592,45539.174226759984,-59.04725042822705,-1481.114723882162,504251.43361122796
434.1100000000298,13618.566769675246,45524.37920256217,-58.9327033345816,-1479.5024197809869,504011.593268317
434.1200000000298,13617.978589072101,45509.60030949865,-58.81806031452286,-1477.889306352175,503771.7529594116
434.1300000000298,13617.391555846778,45494.83755567121,-58.70332253230314,-1476.27538274398,503531.91268428013
434.1400000000298,13616.805670935262,45480.09094919018,-58.588491151643446,-1474.6606481034491,503292.0724426845
434.15000000002976,13616.220935261905,45465.360498174414,-58.47356733571494,-1473.045101576428,503052.23223438044
434.16000000002975,13615.637349739434,45450.646210751336,-58.35855224712048,-1471.428742307562,502812.39205911773
434.17000000002975,13615.054915268956,45435.948095056934,-58.24344704787631,-1469.8115694403016,502572.55191664025
434.18000000002974,13614.473632739962,45421.26615923576,-58.12825289939384,-1468.1935821169038,502332.71180668636
434.1900000000297,13613.893503030338,45406.60041144098,-58.01297096246156,-1466.5747794784368,502092.87172898895
434.2000000000297,13613.314527006365,45391.95085983433,-57.89760239722702,-1464.955160664782,501853.0316832757
434.2100000000297,13612.736705522733,45377.31751258618,-57.78214836317899,-1463.3347248146376,501613.19166926923
434.2200000000297,13612.160039422542,45362.700377875524,-57.66661001912969,-1461.7134710655223,501373.3516866872
434.2300000000297,13611.584529537311,45348.09946388999,-57.550988523197134,-1460.091398553777,501133.5117352427
434.2400000000297,13611.010176686983,45333.51477882584,-57.43528503278758,-1458.4685064145688,500893.6718146442
434.2500000000297,13610.436981679937,45318.94633088802,-57.31950070457814,-1456.8447937818935,500653.8319245958
434.26000000002966,13609.864945312993,45304.394128290136,-57.203636694499416,-1455.2202597885787,500413.9920647975
434.27000000002965,13609.294068371415,45289.85817925447,-57.08769415771833,-1453.5949035662866,500174.1522349451
434.28000000002964,13608.724351628929,45275.338492012015,-56.97167424862101,-1451.9687242455168,499934.31243473064
434.29000000002964,13608.15579584772,45260.83507480246,-56.85557812079578,-1450.341720955609,499694.47266384243
434.3000000000296,13607.58840177845,45246.34793587421,-56.739406927016354,-1448.7138928247455,499454.63292196515
434.3100000000296,13607.022170160259,45231.87708348441,-56.62316181922498,-1447.0852389799545,499214.7932087801
434.3200000000296,13606.457101720773,45217.42252589894,-56.50684394851585,-1445.4557585471123,498974.9535239653
434.3300000000296,13605.893197176121,45202.98427139243,-56.390454465118495,-1443.825450650946,498735.1138671957
434.3400000000296,13605.330457230937,45188.56232824828,-56.27399451838137,-1442.1943144150362,498495.274238143
434.3500000000296,13604.76888257837,45174.15670475866,-56.15746525675553,-1440.562348961819,498255.43463647633
434.3600000000296,13604.208473900091,45159.76740922453,-56.04086782777836,-1438.929553412589,498015.595061862
434.37000000002956,13603.649231866311,45145.39444995565,-55.92420337805748,-1437.2959268875018,497775.7555139638
434.38000000002955,13603.09115713578,45131.037835270596,-55.80747305325473,-1435.6614685055758,497535.9159924429
434.39000000002954,13602.534250355799,45116.69757349675,-55.69067799807027,-1434.0261773846953,497296.07649695827
434.40000000002954,13601.978512162237,45102.37367297033,-55.573819356226736,-1432.390052641612,497056.2370271666
434.4100000000295,13601.423943179532,45088.06614203641,-55.45689827045359,-1430.7530933919484,496816.39758272254
434.4200000000295,13600.870544020707,45073.77498904891,-55.33991588247151,-1429.1152987501982,496576.55816327885
434.4300000000295,13600.318315287377,45059.50022237061,-55.22287333297689,-1427.4766678297306,496336.7187684863
434.4400000000295,13599.767257569762,45045.24185037318,-55.10577176162648,-1425.8371997427907,496096.87939799397
434.4500000000295,13599.217371446692,45030.99988143718,-54.98861230702209,-1424.196893600503,495857.0400514494
434.4600000000295,13598.668657485625,45016.77432395205,-54.871396106695435,-1422.5557485128725,495617.2007284985
434.4700000000295,13598.121116242653,45002.56518631616,-54.75412429709305,-1420.9137635887869,495377.36142878595
434.48000000002946,13597.574748262517,44988.3724769368,-54.63679801356133,-1419.270937936019,495137.52215195494
434.49000000002945,13597.029554078614,44974.19620423019,-54.51941839033168,-1417.6272706612283,494897.68289764755
434.50000000002944,13596.485534213009,44960.03637662149,-54.401986560505726,-1415.9827608699627,494657.8436655048
434.51000000002944,13595.942689176449,44945.89300254482,-54.284503656040684,-1414.337407666661,494418.0044551667
434.5200000000294,13595.40101946837,44931.76609044328,-54.1669708077348,-1412.691210154654,494178.1652662723
434.5300000000294,13594.860525576918,44917.655648768916,-54.04938914521289,-1411.044167436167,493938.32609846
434.5400000000294,13594.321207978948,44903.56168598279,-53.931759796912,-1409.3962786123209,493698.48695136735
434.5500000000294,13593.783067140048,44889.48421055496,-53.81408389006714,-1407.7475427831341,493458.6478246313
434.5600000000294,13593.24610351454,44875.42323096449,-53.69636255069715,-1406.0979590475245,493218.8087178883
434.5700000000294,13592.710317545505,44861.37875569945,-53.57859690359067,-1404.4475265033104,492978.96963077446
434.5800000000294,13592.175709664782,44847.35079325698,-53.460788072292154,-1402.7962442472133,492739.1305629253
434.59000000002936,13591.64228029299,44833.33935214323,-53.34293717908805,-1401.1441113748579,492499.2915139763
434.60000000002935,13591.11002983954,44819.34444087342,-53.225045344993035,-1399.4911269807749,492259.45248356264
434.61000000002934,13590.578958702643,44805.36606797184,-53.10711368973641,-1397.8372901584019,492019.6134713194
434.62000000002934,13590.049067269325,44791.40424197184,-52.9891433317485,-1396.1826000000844,491779.7744768816
434.6300000000293,13589.520355915443,44777.458971415865,-52.87113538814725,-1394.5270555970785,491539.9354998844
434.6400000000293,13588.992825005696,44763.53026485547,-52.75309097472486,-1392.8706560395508,491300.09653996304
434.6500000000293,13588.466474893637,44749.618130851304,-52.635011205934525,-1391.2134004165805,491060.25759675284
434.6600000000293,13587.94130592169,44735.722577973145,-52.516897194877295,-1389.5552878161604,490820.41866988945
434.6700000000293,13587.417318421156,44721.843614799895,-52.39875005328902,-1387.8963173251984,490580.57975900895
434.6800000000293,13586.89451271224,44707.9812499196,-52.28057089152741,-1386.2364880295186,490340.74086374766
434.6900000000293,13586.372889104056,44694.13549192946,-52.162360818559144,-1384.575799013862,490100.9019837425
