t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg],tau[-]
294.0749999999897,4940.08715935283,29926.246134829926,-215.68132974415943,-1021.3936293709912,1554957.21442312,1.0
294.1749999999897,4918.577087589819,29824.301227970274,-215.1007176301101,-1019.4490685965162,1553678.0532173533,1.0
294.27499999998975,4897.121777953656,29722.551743815107,-214.55309636162775,-1017.494841551675,1552398.8920115866,1.0
294.37499999998977,4875.735031468867,29620.994981502932,-213.86746484789046,-1015.5676231217358,1551119.7308058199,1.0
294.4749999999898,4854.414712116945,29519.631674783857,-213.20319351922225,-1013.6330671907419,1549840.5696000531,1.0
294.5749999999898,4833.1525146214035,29418.463826540123,-212.62197495542028,-1011.678482437354,1548561.4083942864,1.0
294.67499999998984,4811.948663088737,29317.49164758228,-212.03851532666698,-1009.7217895784329,1547282.2471885197,1.0
294.77499999998986,4790.803456086961,29216.71537791125,-211.4520700177621,-1007.7626967103216,1546003.085982753,1.0
294.8749999999899,4769.723374743379,29116.13381040465,-210.8008134358205,-1005.815675065982,1544723.9247769862,1.0
294.9749999999899,4748.70815497668,29015.74725783662,-210.15219766698993,-1003.8655256802983,1543444.7635712195,1.0
295.0749999999899,4727.760850080033,28915.555444122663,-209.4730489664635,-1001.918137139578,1542165.6023654528,1.0
295.17499999998995,4706.876134402917,28815.559602672613,-208.84715677116387,-999.9584145004986,1540886.441159686,1.0
295.27499999999,4686.059063129788,28715.758702484974,-208.1707127312877,-998.0090018763763,1539607.2799539194,1.0
295.37499999999,4665.308753299574,28616.153239380943,-207.5030983021396,-996.054631040322,1538328.1187481526,1.0
295.47499999999,4644.616413709492,28516.73734255202,-206.92339590082005,-994.1589682892173,1537083.529350059,0.9729730642882897
295.57499999999004,4623.987789503246,28417.495606132423,-206.28624206245954,-992.4173641959668,1535899.5606511089,0.9255820873965513
295.67499999999006,4603.415984561763,28318.418769874064,-205.7180494148269,-990.7683625835699,1534760.7164306329,0.8903054715401322
295.7749999999901,4582.901435376593,28219.499089341618,-205.1454918516965,-989.196805324446,1533655.016358403,0.8643946261386555
