time[s],x[m],y[m],vx[m/s],vy[m/s],theta[rad],theta_dot[rad/s],alpha[rad],gamma[rad],mass[kg],masspropellant[kg],u1_vref
405.5000000000237,109801.98537843775,45372.06925861954,-20.019400083310664,-1484.1171795880182,1.5574177311339277,9.083125572151251e-05,-3.141482970645586,4.698900701779514,991244.5535465037,646963.1844961741,0.9998178319777313
405.6000000000237,109799.98483614309,45223.66532171544,-20.005422946517665,-1484.0393690409774,1.557426774965666,9.043831738348777e-05,-3.14148263628125,4.698909411246916,990955.8696437803,646674.5005934507,0.9974366518845499
405.70000000002375,109797.98653986861,45075.33266167892,-19.982962744853538,-1483.32660036516,1.557435456372359,8.681406692943606e-05,-3.1414826174789687,4.698918073851328,990492.3974371853,646211.0283868557,0.9950285222502799
405.8000000000238,109795.99103172202,44927.111955767425,-19.955081465831338,-1482.2070591149363,1.557443788778576,8.332406217044214e-05,-3.141482918691196,4.698926707469772,989917.1542738043,645635.7852234747,0.9925944950434646
405.9000000000238,109793.99866098246,44779.029507826766,-19.923707395631624,-1480.8244794065545,1.5574521725042645,8.383725688555771e-05,-3.141483150415592,4.698935322919857,989269.8589731911,644988.4899228616,0.9901352878594725
406.0000000000238,109792.00965561988,44631.10255953994,-19.89005362578535,-1479.2694828682754,1.557460899783156,8.72727889145348e-05,-3.1414830286098763,4.6989439283930325,988575.5586159364,644294.1895656069,0.987651405500729
406.10000000002384,109790.02416733971,44483.34263582088,-19.854882801784335,-1477.5992371905818,1.5574697624930514,8.862709895355002e-05,-3.1414827681203636,4.698952530613415,987850.0539156208,643568.6848652912,0.9851432173821684
406.20000000002386,109788.04229968073,44335.75765367961,-19.818676589726394,-1475.8498214126823,1.5574783349390815,8.572446030118779e-05,-3.141482798561257,4.6989611335003385,987103.3164379714,642821.9473876419,0.9826110068877656
406.3000000000239,109786.06412549924,44188.35325207409,-19.781741814951435,-1474.0440160551664,1.5574865864303022,8.251491220818959e-05,-3.1414831512593864,4.698969737689689,986341.6427159624,642060.2736656328,0.9800550028646855
406.4000000000239,109784.0896981526,44041.13363056288,-19.744273466278415,-1472.1962151121006,1.5574949521897532,8.365759450861102e-05,-3.14148339066454,4.698978342854293,985569.0126296415,641287.6435793119,0.9774753997232422
406.50000000002393,109782.11905889677,43894.10207811848,-19.70639255834079,-1470.315524444011,1.5575037086065264,8.75641677312651e-05,-3.141483241828847,4.698986950435374,984787.9460597569,640506.5770094274,0.9748723702624977
406.60000000002395,109780.15224156677,43747.26130648758,-19.668173300049478,-1468.4077163090249,1.5575125459653754,8.837358848913431e-05,-3.141483017170046,4.698995563135421,984000.0430712475,639718.674020918,0.972246073850273
406.700000000024,109778.18927514474,43600.61366027021,-19.629664220278784,-1466.4764621736808,1.5575210217772555,8.475811880182613e-05,-3.1414831600948534,4.699004181872109,983206.3244602649,638924.9554099353,0.969596661636476
406.800000000024,109776.23018515663,43454.16124925287,-19.590899881191973,-1464.5241101733914,1.557529255003966,8.233226710580775e-05,-3.141483549927968,4.699012804931934,982407.446378375,638126.0773280455,0.966924279872386
406.900000000024,109774.27499486697,43307.90603172148,-19.551902896594864,-1462.5521753139374,1.5575377632525655,8.508248599443192e-05,-3.141483667839013,4.6990214310915785,981603.8355482457,637322.4664979161,0.9642290720210338
