t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg]
0,0,0,0,0,101325
0.01,0,0,0,0,8111653.21969754
0.02,0,0,4.41492131828337e-18,-0.0259653632255895,8111482.77146688
0.03,4.41492131828337e-20,-0.000259653632255895,-0.000941417619644659,-0.0491722137755849,8111305.79179411
0.04,-9.41417619644655e-06,-0.000751375770011743,-0.00188331312787857,-0.0696036284703995,8111122.25557591
0.05,-2.82473074752322e-05,-0.00144741205471574,-0.00282568762645489,-0.0873652857671478,8110932.41301036
0.06,-5.65041837397811e-05,-0.00232106491238722,-0.00376852062197475,-0.102445826379376,8110736.23765838
0.07,-9.41893899595286e-05,-0.00334552317618098,-0.00471179024593468,-0.114833805707896,8110533.70289884
0.08,-0.000141307292418875,-0.00449386123325994,-0.00565547324707976,-0.124518184995596,8110324.78308948
0.09,-0.000197862024889673,-0.00573904308321589,-0.00659954497924504,-0.131487868178941,8110109.45247205
0.1,-0.000263857474682123,-0.0070539217650053,-0.00754397938922398,-0.135731704458947,8109887.68517847
0.11,-0.000339297268574363,-0.00841123880959477,-0.00848874900457838,-0.137238491460195,8109659.45523831
0.12,-0.000424184758620147,-0.00978362372419672,-0.00943382492137319,-0.135996976394273,8109424.73658169
0.13,-0.000518523007833879,-0.0111435934881395,-0.0103791767918419,-0.131995857568022,8109183.50304286
0.14,-0.000622314775752298,-0.0124635520638197,-0.0113247728119872,-0.125223786615756,8108935.72836564
0.15,-0.000735562503872169,-0.0137157899299772,-0.0122705797091412,-0.115669372000349,8108681.38621185
0.16,-0.000858268300963582,-0.0148724836499807,-0.0132165627295048,-0.103321184773256,8108420.450175
0.17,-0.00099043392825863,-0.0159056954977133,-0.0141626856257373,-0.0881677685459097,8108152.89380407
0.18,-0.001132060784516,-0.0167873731831724,-0.0151089106447039,-0.0701976578659873,8107878.69064706
0.19,-0.00128314989096304,-0.0174893497618323,-0.0160551985157073,-0.0493994149664935,8107597.81433801
0.2,-0.00144370187612011,-0.0179833439114972,-0.0170015084399816,-0.0257617118897841,8107310.23879117
