t[s],x[m],y[m],vx[m/s],vy[m/s],mass[kg]
334.00000000000745,2819.372534884786,45560.347110412615,-149.2057022800149,-1075.8127421269228,1152320.4189118815
334.10000000000747,2804.5515139858176,45453.19477968812,-148.21020898968482,-1071.5233072449196,1150608.9943455707
334.2000000000075,2789.830321742841,45346.46846439332,-147.2119224297639,-1067.2631529479884,1148909.1389517214
334.3000000000075,2775.209077793052,45240.16529400562,-146.2124394978911,-1063.031703877012,1147220.7210274213
334.40000000000754,2760.6877441947086,45134.28245211719,-145.2133359834373,-1058.8284188843163,1145543.6211140861
334.50000000000756,2746.2661295585995,45028.8171762401,-144.2161463610922,-1054.6527587709015,1143877.7201036585
334.6000000000076,2731.9438938770713,44923.76675720244,-143.22235681527914,-1050.504190376648,1142222.8995990786
334.7000000000076,2717.720553985403,44819.12853816981,-142.23339891668124,-1046.3821903262374,1140579.0422297416
334.8000000000076,2703.595489591354,44714.89991332685,-141.25064394049048,-1042.2862484295695,1138946.0319315405
334.90000000000765,2689.5679498103214,44611.07832625633,-140.27539781033002,-1038.2158707052422,1137323.7541894221
335.0000000000077,2675.6370601452318,44507.66126805586,-139.30889665089552,-1034.1705820046368,1135712.0962412981
335.1000000000077,2661.801829852047,44404.64627523358,-138.3523029318474,-1030.149928222788,1134110.9472429901
335.2000000000077,2648.0611596335207,44302.03092742454,-137.40670218526225,-1026.1534780904408,1132520.19839467
335.30000000000774,2634.4138496056285,44199.8128449696,-136.47310027892163,-1022.1808245493496,1130939.7430299562
335.40000000000776,2620.85860748285,44097.98968639761,-135.5524212277836,-1018.2315857198944,1129369.476669447
335.5000000000078,2607.3940569302426,43996.55914584998,-134.64550552607247,-1014.3054054763702,1127809.2970409999
335.6000000000078,2594.018746031996,43895.5189504849,-133.75310898246647,-1010.4019536508208,1126259.1040695086
335.70000000000783,2580.731155827915,43794.8668578958,-132.87590204081292,-1006.5209258909806,1124718.7998392752
335.80000000000786,2567.529708871053,43694.600653575624,-132.0144695686182,-1002.6620432017592,1123188.2885323279
335.9000000000079,2554.41277776153,43594.71814845535,-131.16931109522983,-998.8250512027396,1121667.4763462127
336.0000000000079,2541.378693613416,43495.217176541715,-130.3408414811367,-995.0097191363839,1120156.2713948681
336.1000000000079,2528.425754413499,43396.09559267541,-129.52939199917378,-991.215838663068,1118654.5835962044
336.20000000000795,2515.552233232735,43297.35127042743,-128.73521180764084,-987.4432224797494,1117162.32454995
336.30000000000797,2502.7563862532893,43198.98210014753,-127.95846979445791,-983.6917027990357,1115679.4074092023
336.400000000008,2490.0364605762375,43100.98598717505,-127.1992567705167,-979.9611297247432,1114205.746748943
336.500000000008,2477.3907017772995,43003.36085021918,-126.45758798937914,-976.2513695587558,1112741.258434549
336.60000000000804,2464.8173611803527,42906.10461991196,-125.73340596946557,-972.5623030721991,1111285.8594930647
336.70000000000806,2452.314702820963,42809.215237534794,-125.02658359390036,-968.893823771686,1109839.4679897067
336.8000000000081,2439.8810100747346,42712.69065391592,-124.33692746228344,-965.2458361887602,1108402.0029117437
336.9000000000081,2427.514591927948,42616.52882849414,-123.66418146786606,-961.6182542177254,1106973.3840615621
337.00000000000813,2415.213788870652,42520.72772854175,-123.00803057296001,-958.0109995238832,1105553.5319603826
337.10000000000815,2402.976978395159,42425.28532853766,-122.36810475492773,-954.4240000408864,1104142.3677637405
337.2000000000082,2390.8025800856785,42330.19960968041,-121.74398309480793,-950.8571885725198,1102739.8131895077
337.3000000000082,2378.689060287624,42235.46855952933,-121.13519798054098,-947.3105015108182,1101345.7904588988
337.4000000000082,2366.634936347936,42141.09017176142,-120.54123939688044,-943.7838776790882,1099960.22225059
337.50000000000824,2354.638780420495,42047.0624460309,-119.96155927441328,-940.2772573051753,1098583.0316677932
337.60000000000827,2342.6992228334293,41953.38338791817,-119.39557587065822,-936.7905811272713,1097214.1422178508
337.7000000000083,2330.814955017733,41860.05100895499,-118.84267815696188,-933.3237896317227,1095853.477803693
337.8000000000083,2318.984731999148,41767.06332671302,-118.30223018585093,-929.8768224197443,1094500.9627262803
337.90000000000833,2307.2073744576874,41674.41836494325,-117.77357541460998,-926.4496176976595,1093156.5216969931
338.00000000000836,2295.4817703614754,41582.11415375492,-117.25604096211875,-923.0421118833433,1091820.0798587853
338.1000000000084,2283.8068761837376,41490.148729822926,-116.74894177737558,-919.6542393199139,1090491.5628148227
338.2000000000084,2272.181717713774,41398.52013661428,-116.2515846996353,-916.2859320864436,1089170.8966632565
338.3000000000084,2260.605390474607,41307.22642462483,-115.76327239167324,-912.9371198945108,1087858.0080367476
338.40000000000845,2249.077059761674,41216.26565161895,-115.2833071293303,-909.6077300588066,1086552.8241453588
338.50000000000847,2237.5959603184565,41125.63588286598,-114.81099443217491,-906.2976875297132,1085255.2728214562
338.6000000000085,2226.161395666275,41035.3351913684,-114.34564652181406,-903.0069149757749,1083965.282565318
338.7000000000085,2214.772737106667,40945.36165807798,-113.88658559607963,-899.7353329042515,1082682.7825902253
338.80000000000854,2203.429422415768,40855.71337209713,-113.43314690899052,-896.4828598084672,1081407.7028659093
338.90000000000856,2192.130954250965,40766.388430864,-112.98468164803158,-893.2494123313836,1080139.9741593453
339.0000000000086,2180.8768982907764,40677.38494032042,-112.54055960188454,-890.0349054357391,1078879.5280720086
339.1000000000086,2169.666881129448,40588.70101506321,-112.10017161328533,-886.8392525721302,1077626.2970728516
339.20000000000863,2158.5005879481323,40500.33477847945,-111.66293181315886,-883.6623658375645,1076380.214526397
339.30000000000865,2147.377759984773,40412.28436286763,-111.2282796335905,-880.5041561182321,1075141.2147154966
