Propellant mass [kg],Inertia [kg m^2]
0.0,23818422542.03664
5701.947640003568,23813755503.385605
11403.895280007137,23809115712.163467
17105.842920010706,23804503117.864864
22807.790560014273,23799917669.998287
28509.73820001784,23795359318.086193
34211.68584002141,23790828011.665035
39913.633480024975,23786323700.285393
45615.581120028546,23781846333.511997
51317.52876003212,23777395860.92384
57019.47640003568,23772972232.114246
62721.42404003925,23768575396.690945
68423.37168004282,23764205304.276134
74125.31932004639,23759861904.50659
79827.26696004995,23755545147.033745
85529.21460005353,23751254981.52372
91231.16224005709,23746991357.657444
96933.10988006066,23742754225.13074
102635.05752006423,23738543533.65438
108337.0051600678,23734359232.954174
114038.95280007136,23730201272.77105
119740.90044007494,23726069602.861137
125442.8480800785,23721964172.995865
131144.79572008207,23717884932.96199
136846.74336008565,23713831832.561752
142548.6910000892,23709804821.612892
148250.63864009277,23705803849.948784
153952.58628009635,23701828867.41847
159654.5339200999,23697879823.886787
165356.48156010348,23693956669.234425
171058.42920010706,23690059353.358044
176760.3768401106,23686187826.17028
182462.32448011418,23682342037.599937
188164.27212011776,23678521937.591984
193866.2197601213,23674727476.107697
199568.1674001249,23670958603.124706
205270.11504012847,23667215268.637108
210972.06268013202,23663497422.655537
216674.0103201356,23659805015.207264
222375.95796013917,23656137996.336266
228077.90560014272,23652496316.103344
233779.8532401463,23648879924.58618
239481.80088014988,23645288771.87944
245183.74852015343,23641722808.09486
250885.696160157,23638181983.36134
256587.6438001606,23634666247.825027
262289.59144016413,23631175551.6494
267991.5390801677,23627709845.01539
273693.4867201713,23624269078.12143
279395.43436017487,23620853201.183567
285097.3820001784,23617462164.43555
290799.32964018197,23614095918.128937
296501.27728018555,23610754412.53315
302203.2249201891,23607437597.93562
307905.1725601927,23604145424.641827
313607.1202001963,23600877842.975426
319309.0678401998,23597634803.278343
325011.0154802034,23594416255.91084
330712.96312020696,23591222151.251637
336414.91076021054,23588052439.697998
342116.8584002141,23584907071.665836
347818.8060402177,23581785997.589783
353520.7536802212,23578689167.923313
359222.7013202248,23575616533.13883
364924.64896022837,23572568043.727757
370626.59660023195,23569543650.20064
376328.5442402355,23566543303.08726
382030.49188023905,23563566952.9367
387732.4395202426,23560614550.317467
393434.3871602462,23557686045.817585
399136.3348002498,23554781390.044712
404838.28244025336,23551900533.626183
410540.23008025694,23549043427.209194
416242.17772026046,23546210021.460823
421944.12536026404,23543400267.068207
427646.0730002676,23540614114.738556
433348.0206402712,23537851515.199345
439049.96828027477,23535112419.198345
444751.91592027835,23532396777.503777
450453.86356028187,23529704540.90438
456155.81120028545,23527035660.209545
461857.758840289,23524390086.24937
467559.7064802926,23521767769.87485
473261.6541202962,23519168661.957882
478963.60176029976,23516592713.391445
484665.5494003033,23514039875.089672
490367.49704030686,23511510097.987965
496069.44468031044,23509003333.043102
501771.392320314,23506519531.23334
507473.3399603176,23504058643.558544
513175.2876003212,23501620621.04025
518877.2352403247,23499205414.72183
524579.1828803283,23496812975.668556
530281.1305203319,23494443254.967728
535983.0781603354,23492096203.72879
541685.025800339,23489771773.08344
547386.9734403426,23487469914.185715
553088.9210803461,23485190578.212143
558790.8687203497,23482933716.36182
564492.8163603533,23480699279.85655
570194.7640003568,23478487219.940937
575896.7116403604,23476297487.882507
581598.6592803639,23474130034.97183
587300.6069203676,23471984812.522625
593002.5545603711,23469861771.871857
598704.5022003746,23467760864.379906
604406.4498403782,23465682041.43063
610108.3974803818,23463625254.431488
615810.3451203854,23461590454.813698
621512.2927603889,23459577594.032307
627214.2404003926,23457586623.566334
632916.1880403961,23455617494.918877
638618.1356803996,23453670159.61724
644320.0833204032,23451744569.213066
650022.0309604068,23449840675.282413
655723.9786004104,23447958429.42592
661425.9262404139,23446097783.268894
667127.8738804174,23444258688.46148
672829.8215204211,23442441096.67873
678531.7691604246,23440644959.620724
684233.7168004282,23438870229.012756
689935.6644404317,23437116856.6054
695637.6120804354,23435384794.174656
701339.5597204389,23433673993.522045
707041.5073604424,23431984406.474808
712743.4550004461,23430315984.885933
718445.4026404496,23428668680.634354
724147.3502804532,23427042445.62506
729849.2979204567,23425437231.78922
735551.2455604603,23423852991.084274
741253.1932004639,23422289675.49414
746955.1408404674,23420747237.029278
752657.088480471,23419225627.72683
758359.0361204746,23417724799.65078
764060.9837604781,23416244704.89205
769762.9314004817,23414785295.568665
775464.8790404852,23413346523.825844
781166.8266804889,23411928341.83616
786868.7743204924,23410530701.799675
792570.721960496,23409153555.944065
798272.6696004996,23407796856.524734
803974.6172405031,23406460555.825012
809676.5648805067,23405144606.156193
815378.5125205102,23403848959.85777
821080.4601605139,23402573569.297493
826782.4078005174,23401318386.871563
832484.3554405209,23400083365.00475
838186.3030805246,23398868456.150497
843888.2507205281,23397673612.791103
849590.1983605317,23396498787.43787
855292.1460005352,23395343932.63118
860994.0936405389,23394209000.94071
866696.0412805424,23393093944.96552
872397.9889205459,23391998717.334217
878099.9365605495,23390923270.7051
883801.8842005531,23389867557.7663
889503.8318405567,23388831531.235912
895205.7794805602,23387815143.862133
900907.7271205637,23386818348.423462
906609.6747605674,23385841097.72876
912311.6224005709,23384883344.617466
918013.5700405745,23383945041.95972
923715.517680578,23383026142.656498
929417.4653205816,23382126599.639763
935119.4129605852,23381246365.872646
940821.3606005887,23380385394.34954
946523.3082405924,23379543638.0963
952225.2558805959,23378721050.170376
957927.2035205995,23377917583.660927
963629.151160603,23377133191.68906
969331.0988006066,23376367827.407887
975033.0464406102,23375621444.002728
980734.9940806137,23374893994.691265
986436.9417206174,23374185432.723694
992138.8893606209,23373495711.382854
