Propellant mass [kg],Inertia [kg m^2]
0.0,19233239585.418606
27.502462376574407,19234435201.68303
55.00492475314881,19235643511.27011
82.50738712972321,19236864492.209526
110.00984950629763,19238098122.547012
137.51231188287204,19239344380.344383
165.01477425944643,19240603243.679626
192.51723663602084,19241874690.64689
220.01969901259525,19243158699.356583
247.52216138916967,19244455247.935413
275.0246237657441,19245764314.52641
302.52708614231847,19247085877.289017
330.02954851889285,19248419914.3991
357.5320108954673,19249766404.04905
385.0344732720417,19251125324.447773
412.5369356486161,19252496653.820793
440.0393980251905,19253880370.410267
467.5418604017649,19255276452.475048
495.04432277833934,19256684878.29075
522.5467851549138,19258105626.149784
550.0492475314882,19259538674.361404
577.5517099080625,19260984001.251778
605.0541722846369,19262441585.164024
632.5566346612113,19263911404.458263
660.0590970377857,19265393437.511692
687.5615594143602,19266887662.718605
715.0640217909346,19268394058.49046
742.566484167509,19269912603.255943
770.0689465440834,19271443275.460995
797.5714089206577,19272986053.568893
825.0738712972322,19274540916.060272
852.5763336738066,19276107841.43322
880.078796050381,19277686808.20328
907.5812584269554,19279277794.903557
935.0837208035298,19280880780.084724
962.5861831801043,19282495742.315098
990.0886455566787,19284122660.180695
1017.591107933253,19285761512.285294
1045.0935703098276,19287412277.25047
1072.596032686402,19289074933.715637
1100.0984950629763,19290749460.33816
1127.6009574395507,19292435835.79334
1155.103419816125,19294134038.774525
1182.6058821926995,19295844047.993122
1210.1083445692739,19297565842.178673
1237.6108069458483,19299299400.078926
1265.1132693224226,19301044700.45985
1292.615731698997,19302801722.105732
1320.1181940755714,19304570443.8192
1347.620656452146,19306350844.421303
1375.1231188287204,19308142902.75154
1402.6255812052948,19309946597.66796
1430.1280435818692,19311761908.047176
1457.6305059584436,19313588812.78444
1485.132968335018,19315427290.793682
1512.6354307115923,19317277321.007603
1540.1378930881667,19319138882.37771
1567.640355464741,19321011953.874355
1595.1428178413155,19322896514.486828
1622.64528021789,19324792543.2234
1650.1477425944645,19326700019.111355
1677.6502049710389,19328618921.1971
1705.1526673476133,19330549228.54618
1732.6551297241876,19332490920.24335
1760.157592100762,19334443975.39264
1787.6600544773364,19336408373.117386
1815.1625168539108,19338384092.56035
1842.6649792304852,19340371112.8837
1870.1674416070596,19342369413.26914
1897.669903983634,19344378972.917896
1925.1723663602086,19346399771.050858
1952.674828736783,19348431786.908573
1980.1772911133573,19350474999.751335
