#{"t_start": 1741813880.028079, "env_id": "None"}
r,l,t
-0.042602,1,0.921153
-0.042518,1,0.921895
-0.03662,114,1.470835
-0.042544,1,1.487044
-0.042564,1,1.509202
-0.042547,1,1.52828
-0.042518,1,1.545415
-0.042616,1,1.560845
-0.042523,1,1.5755
-0.042512,1,1.589436
-0.042537,1,1.603741
-0.042581,1,1.618891
-0.042529,1,1.635038
-0.042571,1,1.649374
-0.042518,1,1.661539
-0.03513,121,3.282388
-0.042518,1,3.293865
-0.042469,1,3.305364
-0.042592,1,3.31744
-0.029008,121,4.725147
-0.042518,1,4.73668
-0.042529,1,4.748053
-0.037399,81,5.686092
-0.038235,85,6.658241
-0.042527,2,6.681167
-0.042551,1,6.692577
-0.042008,103,7.870638
-0.042472,1,7.88387
-0.042925,87,8.892435
-0.042953,10,9.009767
-0.042562,4,9.059299
-0.042518,1,9.070805
-0.042481,1,9.082218
-0.042514,3,9.116342
-0.042466,2,9.139155
-0.042539,1,9.150618
-0.042561,1,9.162029
-0.042518,1,9.173438
-0.042518,1,9.184851
-0.037857,75,10.049623
-0.042518,1,10.06113
-0.040746,72,10.880421
-0.042518,1,10.89196
-0.042518,1,10.903172
-0.041824,95,11.989387
-0.042516,1,12.000901
-0.042526,1,12.01607
-0.042486,1,12.029214
-0.04252,1,12.041369
-0.04256,1,12.052915
-0.042545,1,12.064232
-0.042555,1,12.076109
-0.042559,1,12.087368
-0.042442,2,12.109887
-0.042487,1,12.121282
-0.042136,83,13.100766
-0.042518,1,13.112281
-0.039251,109,14.357893
-0.042561,1,14.36935
-0.042575,1,14.38055
-0.042518,1,14.391757
-0.042518,1,14.402949
-0.042518,1,14.414307
-0.042572,2,14.437273
-0.042605,1,14.448834
-0.042866,6,14.521638
-0.042589,1,14.534146
-0.042546,1,14.545475
-0.042629,4,14.590969
-0.042589,1,14.602198
-0.042518,1,14.613796
-0.042559,1,14.625262
-0.042584,1,14.636703
-0.04207,93,15.70083
-0.042545,2,15.723933
-0.042565,1,15.735353
-0.042568,1,15.746731
-0.042553,1,15.758097
-0.042541,1,15.769459
-0.040718,74,16.614719
-0.038911,77,17.488397
-0.042484,2,17.512557
-0.042518,1,17.527674
-0.04261,117,18.899064
-0.042518,1,18.910912
-0.042526,1,18.922365
-0.042518,1,18.93378
-0.042613,1,18.946332
-0.042493,1,18.957999
-0.036622,80,19.874089
-0.042539,1,19.885499
-0.042588,1,19.896789
-0.042371,3,19.930228
-0.042518,1,19.941623
-0.042596,3,19.977139
-0.042618,1,19.989114
-0.033109,114,21.295253
-0.04258,1,21.307149
-0.042516,1,21.318877
-0.042531,2,21.341411
-0.042568,1,21.357648
-0.040017,74,22.32915
-0.042484,1,22.342948
-0.042585,1,22.360735
-0.042518,1,22.376278
-0.042518,1,22.393487
-0.042474,1,22.408614
-0.042518,1,22.423626
-0.042527,1,22.438107
-0.042558,1,22.453012
-0.035292,95,23.603177
-0.042558,2,23.626177
-0.042518,1,23.637746
-0.042518,1,23.649283
-0.042764,5,23.706286
-0.042518,1,23.717896
-0.042548,1,23.729391
-0.042536,1,23.740896
-0.042543,1,23.752541
-0.042518,1,23.764182
-0.042502,2,23.787306
-0.042518,1,23.798698
-0.042601,1,23.810145
-0.042542,1,23.821637
-0.042518,1,23.833124
-0.042518,1,23.844634
-0.042518,1,23.856099
-0.042602,1,23.867512
-0.038512,123,25.28184
-0.04252,1,25.293313
-0.042518,1,25.304723
-0.036609,92,26.359888
-0.03858,76,27.231045
-0.042518,1,27.242496
-0.042518,1,27.253737
-0.042512,3,27.287323
-0.042518,1,27.298678
-0.042552,1,27.310622
-0.042567,2,27.333579
-0.042586,1,27.344935
-0.042518,1,27.356346
-0.042547,1,27.367752
-0.042518,1,27.378942
-0.042518,1,27.390552
-0.042617,2,27.412915
-0.042466,1,27.424187
-0.042521,1,27.435684
-0.042594,1,27.447053
-0.042518,1,27.458549
-0.042556,1,27.469756
-0.042552,1,27.480946
-0.042518,1,27.492151
-0.042518,1,27.503376
-0.042518,1,27.519652
-0.042518,1,27.53227
-0.042518,1,27.543874
-0.04275,5,27.600342
-0.042518,1,27.611644
-0.042518,1,27.623159
-0.042518,1,27.636129
-0.042568,1,27.647841
-0.03446,116,28.986157
-0.041965,85,29.952157
-0.042535,2,29.975294
-0.033632,89,30.98364
-0.042468,1,30.995275
-0.033734,89,32.008117
-0.042518,1,32.024299
-0.042468,1,32.03624
-0.0425,1,32.047684
-0.042527,1,32.058913
-0.042518,1,32.070211
-0.036499,87,33.0583
-0.042518,1,33.070972
-0.04256,1,33.084514
-0.042516,1,33.097438
-0.042518,1,33.111203
-0.042518,1,33.12312
-0.042518,1,33.134856
-0.042494,1,33.146625
-0.042508,1,33.158194
-0.042552,1,33.169787
-0.038664,88,34.174546
-0.042509,1,34.185758
-0.042478,1,34.196965
-0.042496,1,34.20806
-0.042538,3,34.241057
-0.042518,1,34.252634
-0.042518,1,34.264196
-0.042479,1,34.275462
-0.042536,1,34.286524
-0.042518,1,34.297638
-0.042595,1,34.308753
-0.042518,1,34.319812
-0.042564,1,34.330936
-0.039957,85,35.293753
-0.042518,1,35.305165
-0.042532,1,35.316309
-0.042585,2,35.338707
-0.042593,2,35.360991
-0.042518,1,35.37674
-0.042484,1,35.393322
-0.042529,2,35.424349
-0.042518,1,35.43883
-0.042532,1,35.453488
-0.042472,1,35.468867
-0.035805,103,36.862767
-0.04251,1,36.874136
-0.042595,1,36.885466
-0.042513,1,36.896692
-0.042518,1,36.908971
-0.042591,1,36.920748
-0.042569,1,36.932205
-0.042509,1,36.944115
-0.042564,1,36.956401
-0.042565,1,36.967751
-0.036495,120,38.380467
-0.042596,1,38.391805
-0.042585,1,38.403022
-0.040004,76,39.283035
-0.042518,1,39.294363
-0.042536,1,39.305685
-0.0425,2,39.328654
-0.042518,1,39.340083
-0.042602,1,39.351298
-0.042518,1,39.362937
-0.042556,1,39.374266
-0.042518,1,39.385549
-0.0426,1,39.39676
-0.042518,1,39.407998
-0.042515,1,39.419269
-0.042523,1,39.43056
-0.042518,1,39.441759
-0.042571,1,39.453032
-0.038517,82,40.390809
-0.034084,116,41.720671
-0.042564,1,41.732463
-0.043713,82,42.669977
-0.042604,1,42.681435
-0.042504,1,42.692658
-0.0426,1,42.703899
-0.042549,1,42.715402
-0.042542,1,42.72698
-0.042598,1,42.741749
-0.038798,81,43.694428
-0.042576,1,43.705868
-0.04257,1,43.717262
-0.042522,1,43.728564
-0.042475,1,43.739906
-0.042543,1,43.751217
-0.042522,1,43.762704
-0.042527,1,43.774408
-0.0425,1,43.785758
-0.042503,3,43.819464
-0.042518,1,43.831137
-0.042549,3,43.865029
-0.038226,108,45.106417
-0.042518,1,45.117883
-0.042544,1,45.129308
-0.042518,1,45.140729
-0.042541,1,45.152207
-0.042567,1,45.16365
-0.042518,1,45.175084
-0.042516,1,45.186656
-0.039716,76,46.078397
-0.042518,1,46.089653
-0.04253,1,46.100892
-0.042518,1,46.112329
-0.042534,1,46.123724
-0.042546,1,46.135149
-0.042484,1,46.146524
-0.042514,2,46.169554
-0.042072,81,47.096845
-0.042545,1,47.108386
-0.042518,1,47.119941
-0.042518,1,47.131451
-0.042518,1,47.142947
-0.042528,1,47.154358
-0.029132,122,48.55763
-0.042588,1,48.569885
-0.042902,72,49.383641
-0.042558,2,49.405977
-0.042518,1,49.416987
-0.042518,1,49.428019
-0.042523,1,49.439068
-0.042518,1,49.450161
-0.042587,1,49.462173
-0.042603,1,49.473561
-0.042518,1,49.484624
-0.042578,2,49.507091
-0.042518,1,49.522952
-0.042535,1,49.534733
-0.042585,2,49.557136
-0.042486,1,49.568257
-0.042518,1,49.579374
-0.039031,79,50.464911
-0.042528,1,50.476439
-0.042715,5,50.53701
-0.042518,1,50.548628
-0.042491,1,50.559814
-0.042554,3,50.604934
-0.042534,1,50.61919
-0.041223,99,51.956364
-0.042612,1,51.968017
-0.042518,1,51.980267
-0.042518,1,51.991969
-0.042547,1,52.003687
-0.042535,1,52.018781
-0.042537,1,52.033726
-0.042517,1,52.046084
-0.042594,1,52.057611
-0.042518,1,52.069582
-0.042518,1,52.08093
-0.042512,1,52.09196
-0.042067,72,52.932041
-0.041546,76,53.841018
